Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,TO,2007,16.090840916
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,SP,2007,12.362197289
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,SE,2007,25.704406196
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,SC,2007,10.737812912
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RS,2007,21.070635409
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RR,2007,12.109751610
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RO,2007,29.385171790
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RN,2007,25.964929230
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RJ,2007,36.244038024
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PR,2007,26.499079858
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PI,2007,9.659562026
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PE,2007,50.269792659
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PB,2007,17.567827148
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PA,2007,34.583109406
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,MT,2007,31.213893895
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,MS,2007,25.188070930
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,MG,2007,14.754208850
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,MA,2007,17.989577015
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,GO,2007,23.023458308
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,ES,2007,49.653188541
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,DF,2007,25.734599283
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,CE,2007,24.488241981
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,BA,2007,26.673098301
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,AP,2007,20.975668225
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,AM,2007,21.081532754
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,AL,2007,62.857583899
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,AC,2007,24.891569717
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,Brasil,2007,23.553441942
Números absolutos,CVLI Crimes violentos letais intencionais,TO,2007,218
Números absolutos,CVLI Crimes violentos letais intencionais,SP,2007,5095
Números absolutos,CVLI Crimes violentos letais intencionais,SE,2007,524
Números absolutos,CVLI Crimes violentos letais intencionais,SC,2007,652
Números absolutos,CVLI Crimes violentos letais intencionais,RS,2007,2285
Números absolutos,CVLI Crimes violentos letais intencionais,RR,2007,52
Números absolutos,CVLI Crimes violentos letais intencionais,RO,2007,468
Números absolutos,CVLI Crimes violentos letais intencionais,RN,2007,817
Números absolutos,CVLI Crimes violentos letais intencionais,RJ,2007,5707
Números absolutos,CVLI Crimes violentos letais intencionais,PR,2007,2767
Números absolutos,CVLI Crimes violentos letais intencionais,PI,2007,298
Números absolutos,CVLI Crimes violentos letais intencionais,PE,2007,4395
Números absolutos,CVLI Crimes violentos letais intencionais,PB,2007,653
Números absolutos,CVLI Crimes violentos letais intencionais,PA,2007,2518
Números absolutos,CVLI Crimes violentos letais intencionais,MT,2007,908
Números absolutos,CVLI Crimes violentos letais intencionais,MS,2007,600
Números absolutos,CVLI Crimes violentos letais intencionais,MG,2007,2894
Números absolutos,CVLI Crimes violentos letais intencionais,MA,2007,1148
Números absolutos,CVLI Crimes violentos letais intencionais,GO,2007,1348
Números absolutos,CVLI Crimes violentos letais intencionais,ES,2007,1762
Números absolutos,CVLI Crimes violentos letais intencionais,DF,2007,625
Números absolutos,CVLI Crimes violentos letais intencionais,CE,2007,2039
Números absolutos,CVLI Crimes violentos letais intencionais,BA,2007,3853
Números absolutos,CVLI Crimes violentos letais intencionais,AP,2007,133
Números absolutos,CVLI Crimes violentos letais intencionais,AM,2007,715
Números absolutos,CVLI Crimes violentos letais intencionais,AL,2007,1979
Números absolutos,CVLI Crimes violentos letais intencionais,AC,2007,172
Números absolutos,CVLI Crimes violentos letais intencionais,Brasil,2007,44625
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,TO,2008,17.139976963
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,SP,2008,11.264859585
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,SE,2008,26.084541014
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,SC,2008,13.513844553
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RS,2008,22.646094356
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RR,2008,9.079910018
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RO,2008,27.891294453
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RN,2008,30.499944931
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RJ,2008,34.451741269
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PR,2008,27.987534068
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PI,2008,9.946574982
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PE,2008,49.583317706
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PB,2008,24.203606711
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PA,2008,42.850301553
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,MT,2008,28.378188234
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,MS,2008,24.324659744
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,MG,2008,11.003179808
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,MA,2008,17.154918670
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,GO,2008,26.085817977
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,ES,2008,45.490873480
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,DF,2008,29.150422218
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,CE,2008,24.524328479
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,BA,2008,31.144071348
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,AP,2008,31.596206615
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,AM,2008,21.336416094
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,AL,2008,66.897946019
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,AC,2008,25.083789778
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,Brasil,2008,23.956777369
Números absolutos,CVLI Crimes violentos letais intencionais,TO,2008,236
Números absolutos,CVLI Crimes violentos letais intencionais,SP,2008,4692
Números absolutos,CVLI Crimes violentos letais intencionais,SE,2008,539
Números absolutos,CVLI Crimes violentos letais intencionais,SC,2008,833
Números absolutos,CVLI Crimes violentos letais intencionais,RS,2008,2470
Números absolutos,CVLI Crimes violentos letais intencionais,RR,2008,40
Números absolutos,CVLI Crimes violentos letais intencionais,RO,2008,451
Números absolutos,CVLI Crimes violentos letais intencionais,RN,2008,972
Números absolutos,CVLI Crimes violentos letais intencionais,RJ,2008,5464
Números absolutos,CVLI Crimes violentos letais intencionais,PR,2008,2950
Números absolutos,CVLI Crimes violentos letais intencionais,PI,2008,309
Números absolutos,CVLI Crimes violentos letais intencionais,PE,2008,4376
Números absolutos,CVLI Crimes violentos letais intencionais,PB,2008,908
Números absolutos,CVLI Crimes violentos letais intencionais,PA,2008,3172
Números absolutos,CVLI Crimes violentos letais intencionais,MT,2008,839
Números absolutos,CVLI Crimes violentos letais intencionais,MS,2008,588
Números absolutos,CVLI Crimes violentos letais intencionais,MG,2008,2178
Números absolutos,CVLI Crimes violentos letais intencionais,MA,2008,1108
Números absolutos,CVLI Crimes violentos letais intencionais,GO,2008,1554
Números absolutos,CVLI Crimes violentos letais intencionais,ES,2008,1637
Números absolutos,CVLI Crimes violentos letais intencionais,DF,2008,724
Números absolutos,CVLI Crimes violentos letais intencionais,CE,2008,2063
Números absolutos,CVLI Crimes violentos letais intencionais,BA,2008,4534
Números absolutos,CVLI Crimes violentos letais intencionais,AP,2008,206
Números absolutos,CVLI Crimes violentos letais intencionais,AM,2008,739
Números absolutos,CVLI Crimes violentos letais intencionais,AL,2008,2126
Números absolutos,CVLI Crimes violentos letais intencionais,AC,2008,177
Números absolutos,CVLI Crimes violentos letais intencionais,Brasil,2008,45885
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,TO,2009,18.736582247
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,SP,2009,11.555358915
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,SE,2009,28.325675529
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,SC,2009,14.111804165
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RS,2009,16.534320662
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RR,2009,13.082939182
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RO,2009,31.695585841
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RN,2009,21.758947437
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,RJ,2009,34.785947755
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PR,2009,30.753854927
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PI,2009,8.829406274
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PE,2009,43.507609284
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PB,2009,31.936830060
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,PA,2009,38.103311292
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,MT,2009,29.467487539
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,MS,2009,18.025814434
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,MG,2009,10.006230105
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,MA,2009,19.485607514
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,GO,2009,25.968378670
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,ES,2009,21.545609671
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,DF,2009,31.950465761
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,CE,2009,28.046114783
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,BA,2009,33.622418400
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,AP,2009,14.342058085
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,AM,2009,23.935790968
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,AL,2009,48.287614508
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,AC,2009,27.772686119
Taxa / 100 mil habitantes,CVLI Crimes violentos letais intencionais,Brasil,2009,23.001491718
Números absolutos,CVLI Crimes violentos letais intencionais,TO,2009,262
Números absolutos,CVLI Crimes violentos letais intencionais,SP,2009,4862
Números absolutos,CVLI Crimes violentos letais intencionais,SE,2009,593
Números absolutos,CVLI Crimes violentos letais intencionais,SC,2009,883
