Measure Names,UF,Year of Ano (data),Measure Values
Taxa / 100 mil habitantes,TO,2007.00,16.090840916
Taxa / 100 mil habitantes,SP,2007.00,12.362197289
Taxa / 100 mil habitantes,SE,2007.00,25.704406196
Taxa / 100 mil habitantes,SC,2007.00,10.737812912
Taxa / 100 mil habitantes,RS,2007.00,21.070635409
Taxa / 100 mil habitantes,RR,2007.00,12.109751610
Taxa / 100 mil habitantes,RO,2007.00,29.385171790
Taxa / 100 mil habitantes,RN,2007.00,25.964929230
Taxa / 100 mil habitantes,RJ,2007.00,36.244038024
Taxa / 100 mil habitantes,PR,2007.00,26.499079858
Taxa / 100 mil habitantes,PI,2007.00,9.659562026
Taxa / 100 mil habitantes,PE,2007.00,50.269792659
Taxa / 100 mil habitantes,PB,2007.00,17.567827148
Taxa / 100 mil habitantes,PA,2007.00,34.583109406
Taxa / 100 mil habitantes,MT,2007.00,31.213893895
Taxa / 100 mil habitantes,MS,2007.00,25.188070930
Taxa / 100 mil habitantes,MG,2007.00,14.754208850
Taxa / 100 mil habitantes,MA,2007.00,17.989577015
Taxa / 100 mil habitantes,GO,2007.00,23.023458308
Taxa / 100 mil habitantes,ES,2007.00,49.653188541
Taxa / 100 mil habitantes,DF,2007.00,25.734599283
Taxa / 100 mil habitantes,CE,2007.00,24.488241981
Taxa / 100 mil habitantes,BA,2007.00,26.673098301
Taxa / 100 mil habitantes,AP,2007.00,20.975668225
Taxa / 100 mil habitantes,AM,2007.00,21.081532754
Taxa / 100 mil habitantes,AL,2007.00,62.857583899
Taxa / 100 mil habitantes,AC,2007.00,24.891569717
Taxa / 100 mil habitantes,Brasil,2007.00,23.553441942
Números absolutos,TO,2007.00,218.00
Números absolutos,SP,2007.00,5095.00
Números absolutos,SE,2007.00,524.00
Números absolutos,SC,2007.00,652.00
Números absolutos,RS,2007.00,2285.00
Números absolutos,RR,2007.00,52.00
Números absolutos,RO,2007.00,468.00
Números absolutos,RN,2007.00,817.00
Números absolutos,RJ,2007.00,5707.00
Números absolutos,PR,2007.00,2767.00
Números absolutos,PI,2007.00,298.00
Números absolutos,PE,2007.00,4395.00
Números absolutos,PB,2007.00,653.00
Números absolutos,PA,2007.00,2518.00
Números absolutos,MT,2007.00,908.00
Números absolutos,MS,2007.00,600.00
Números absolutos,MG,2007.00,2894.00
Números absolutos,MA,2007.00,1148.00
Números absolutos,GO,2007.00,1348.00
Números absolutos,ES,2007.00,1762.00
Números absolutos,DF,2007.00,625.00
Números absolutos,CE,2007.00,2039.00
Números absolutos,BA,2007.00,3853.00
Números absolutos,AP,2007.00,133.00
Números absolutos,AM,2007.00,715.00
Números absolutos,AL,2007.00,1979.00
Números absolutos,AC,2007.00,172.00
Números absolutos,Brasil,2007.00,44625.00
Taxa / 100 mil habitantes,TO,2008.00,17.139976963
Taxa / 100 mil habitantes,SP,2008.00,11.264859585
Taxa / 100 mil habitantes,SE,2008.00,26.084541014
Taxa / 100 mil habitantes,SC,2008.00,13.513844553
Taxa / 100 mil habitantes,RS,2008.00,22.646094356
Taxa / 100 mil habitantes,RR,2008.00,9.079910018
Taxa / 100 mil habitantes,RO,2008.00,27.891294453
Taxa / 100 mil habitantes,RN,2008.00,30.499944931
Taxa / 100 mil habitantes,RJ,2008.00,34.451741269
Taxa / 100 mil habitantes,PR,2008.00,27.987534068
Taxa / 100 mil habitantes,PI,2008.00,9.946574982
Taxa / 100 mil habitantes,PE,2008.00,49.583317706
Taxa / 100 mil habitantes,PB,2008.00,24.203606711
Taxa / 100 mil habitantes,PA,2008.00,42.850301553
Taxa / 100 mil habitantes,MT,2008.00,28.378188234
Taxa / 100 mil habitantes,MS,2008.00,24.324659744
Taxa / 100 mil habitantes,MG,2008.00,11.003179808
Taxa / 100 mil habitantes,MA,2008.00,17.154918670
Taxa / 100 mil habitantes,GO,2008.00,26.085817977
Taxa / 100 mil habitantes,ES,2008.00,45.490873480
Taxa / 100 mil habitantes,DF,2008.00,29.150422218
Taxa / 100 mil habitantes,CE,2008.00,24.524328479
Taxa / 100 mil habitantes,BA,2008.00,31.144071348
Taxa / 100 mil habitantes,AP,2008.00,31.596206615
Taxa / 100 mil habitantes,AM,2008.00,21.336416094
Taxa / 100 mil habitantes,AL,2008.00,66.897946019
Taxa / 100 mil habitantes,AC,2008.00,25.083789778
Taxa / 100 mil habitantes,Brasil,2008.00,23.956777369
Números absolutos,TO,2008.00,236.00
Números absolutos,SP,2008.00,4692.00
Números absolutos,SE,2008.00,539.00
Números absolutos,SC,2008.00,833.00
Números absolutos,RS,2008.00,2470.00
Números absolutos,RR,2008.00,40.00
Números absolutos,RO,2008.00,451.00
Números absolutos,RN,2008.00,972.00
Números absolutos,RJ,2008.00,5464.00
Números absolutos,PR,2008.00,2950.00
Números absolutos,PI,2008.00,309.00
Números absolutos,PE,2008.00,4376.00
Números absolutos,PB,2008.00,908.00
Números absolutos,PA,2008.00,3172.00
Números absolutos,MT,2008.00,839.00
Números absolutos,MS,2008.00,588.00
