Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,TO,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,SP,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,SE,2010,4
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,SC,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,RS,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,RR,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,RO,2010,1
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,RN,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,RJ,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,PR,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,PI,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,PE,2010,8
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,PB,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,PA,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,MT,2010,2
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,MS,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,MG,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,MA,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,GO,2010,3
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,ES,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,DF,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,CE,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,BA,2010,6
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,AP,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,AM,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,AL,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,AC,2010,
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,TO,2011,0
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,SP,2011,43
Números absolutos,Policiais civis e militares mortos em confronto ou por lesão não natural fora de serviço,SE,2011,0
