Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Números absolutos,Policiais civis e militares mortos em confronto em serviço,TO,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SP,2010.00,25.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SE,2010.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SC,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RS,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RR,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RO,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RN,2010.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RJ,2010.00,20.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PR,2010.00,19.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PI,2010.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PE,2010.00,30.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PB,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PA,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MT,2010.00,4.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MS,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MG,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MA,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,GO,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,ES,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,DF,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,CE,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,BA,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AP,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AM,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AL,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AC,2010.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,TO,2011.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SP,2011.00,28.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SE,2011.00,0.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SC,2011.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RS,2011.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RR,2011.00,0.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RO,2011.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RN,2011.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RJ,2011.00,11.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PR,2011.00,10.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PI,2011.00,0.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PE,2011.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PB,2011.00,0.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PA,2011.00,7.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MT,2011.00,0.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MS,2011.00,0.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MG,2011.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MA,2011.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,GO,2011.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,ES,2011.00,0.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,DF,2011.00,0.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,CE,2011.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,BA,2011.00,10.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AP,2011.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AM,2011.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AL,2011.00,0.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,AC,2011.00,0.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,TO,2012.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SP,2012.00,50.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SE,2012.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,SC,2012.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RS,2012.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RR,2012.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RO,2012.00,4.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RN,2012.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,RJ,2012.00,18.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PR,2012.00,23.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PI,2012.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PE,2012.00,6.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PB,2012.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,PA,2012.00,24.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MT,2012.00,5.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MS,2012.00,1.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MG,2012.00,6.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,MA,2012.00,2.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,GO,2012.00,
Números absolutos,Policiais civis e militares mortos em confronto em serviço,ES,2012.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,DF,2012.00,3.00
Números absolutos,Policiais civis e militares mortos em confronto em serviço,CE,2012.00,
