uf;ano;hom_brancos;hom_negros
AC;2003.00;9.90;10.50
AP;2003.00;3.10;18.70
AM;2003.00;2.80;8.80
PA;2003.00;7.50;21.10
RO;2003.00;30.50;38.30
RR;2003.00;13.00;12.90
TO;2003.00;10.40;8.80
AL;2003.00;5.20;23.60
BA;2003.00;3.80;12.00
CE;2003.00;3.50;7.50
MA;2003.00;3.40;6.30
PB;2003.00;2.50;16.80
PE;2003.00;13.90;59.10
PI;2003.00;2.50;5.40
RN;2003.00;5.40;12.30
SE;2003.00;10.90;14.30
ES;2003.00;15.30;37.20
MG;2003.00;8.20;21.10
RJ;2003.00;24.10;65.20
SP;2003.00;19.90;36.20
PR;2003.00;19.30;11.40
RS;2003.00;12.20;17.70
SC;2003.00;6.00;10.50
DF;2003.00;9.40;44.10
GO;2003.00;9.30;14.90
MT;2003.00;18.90;23.00
MS;2003.00;16.00;23.30
AC;2012.00;3.80;12.80
AP;2012.00;7.20;17.20
AM;2012.00;8.10;28.60
PA;2012.00;9.80;31.60
RO;2012.00;15.60;23.60
RR;2012.00;1.90;8.10
TO;2012.00;10.90;14.10
AL;2012.00;6.90;76.20
BA;2012.00;12.00;41.70
CE;2012.00;7.00;25.80
MA;2012.00;9.80;20.40
PB;2012.00;3.80;48.70
PE;2012.00;4.20;40.50
PI;2012.00;4.80;13.10
RN;2012.00;11.80;37.70
SE;2012.00;10.30;40.20
ES;2012.00;9.50;53.60
MG;2012.00;10.40;22.00
RJ;2012.00;14.50;27.30
SP;2012.00;8.70;12.20
PR;2012.00;27.00;17.10
RS;2012.00;17.20;23.90
SC;2012.00;8.00;10.90
DF;2012.00;7.00;47.40
GO;2012.00;16.00;42.00
MT;2012.00;15.00;27.20
MS;2012.00;9.30;19.20
