Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),TO,2007,169
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),SP,2007,
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),SE,2007,0
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),SC,2007,
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),RS,2007,0
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),RR,2007,1
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),RO,2007,65
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),RN,2007,76
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),RJ,2007,270
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),PR,2007,
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),PI,2007,1
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),PE,2007,432
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),PB,2007,80
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),PA,2007,51
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),MT,2007,93
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),MS,2007,28
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),MG,2007,1069
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),MA,2007,0
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),GO,2007,72
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),ES,2007,0
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),DF,2007,84
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),CE,2007,119
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),BA,2007,602
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),AP,2007,2
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),AM,2007,56
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),AL,2007,
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),AC,2007,61
Números absolutos,Mortes acidentais no trânsito (exceto homicídio culposo),Brasil,2007,3331
