Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),TO,2007.00,12.474092270
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),SP,2007.00,
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),SE,2007.00,0.00
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),SC,2007.00,
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),RS,2007.00,0.00
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),RR,2007.00,0.232879839
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),RO,2007.00,4.081273860
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),RN,2007.00,2.415342254
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),RJ,2007.00,1.714717061
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),PR,2007.00,
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),PI,2007.00,0.032414638
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),PE,2007.00,4.941194637
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),PB,2007.00,2.152260600
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),PA,2007.00,0.700452176
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),MT,2007.00,3.197017767
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),MS,2007.00,1.175443310
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),MG,2007.00,5.449982467
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),MA,2007.00,0.00
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),GO,2007.00,1.229739613
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),ES,2007.00,0.00
Taxa / 100 mil habitantes,Mortes acidentais no trânsito (exceto homicídio culposo),DF,2007.00,3.458730144
