Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Taxa / 100 mil habitantes,Mortes a esclarecer,TO,2007.00,3.985804631
Taxa / 100 mil habitantes,Mortes a esclarecer,SP,2007.00,
Taxa / 100 mil habitantes,Mortes a esclarecer,SE,2007.00,0.00
Taxa / 100 mil habitantes,Mortes a esclarecer,SC,2007.00,3.738471673
Taxa / 100 mil habitantes,Mortes a esclarecer,RS,2007.00,
Taxa / 100 mil habitantes,Mortes a esclarecer,RR,2007.00,7.452154837
Taxa / 100 mil habitantes,Mortes a esclarecer,RO,2007.00,19.715692184
Taxa / 100 mil habitantes,Mortes a esclarecer,RN,2007.00,6.260821369
Taxa / 100 mil habitantes,Mortes a esclarecer,RJ,2007.00,12.746063486
Taxa / 100 mil habitantes,Mortes a esclarecer,PR,2007.00,
Taxa / 100 mil habitantes,Mortes a esclarecer,PI,2007.00,1.231756232
Taxa / 100 mil habitantes,Mortes a esclarecer,PE,2007.00,11.174877685
Taxa / 100 mil habitantes,Mortes a esclarecer,PB,2007.00,1.748711738
Taxa / 100 mil habitantes,Mortes a esclarecer,PA,2007.00,0.00
Taxa / 100 mil habitantes,Mortes a esclarecer,MT,2007.00,6.050270182
Taxa / 100 mil habitantes,Mortes a esclarecer,MS,2007.00,17.211848469
Taxa / 100 mil habitantes,Mortes a esclarecer,MG,2007.00,0.061178475
Taxa / 100 mil habitantes,Mortes a esclarecer,MA,2007.00,0.360418355
Taxa / 100 mil habitantes,Mortes a esclarecer,GO,2007.00,23.484610663
Taxa / 100 mil habitantes,Mortes a esclarecer,ES,2007.00,
Taxa / 100 mil habitantes,Mortes a esclarecer,DF,2007.00,1.729365072
Taxa / 100 mil habitantes,Mortes a esclarecer,CE,2007.00,4.431663213
Taxa / 100 mil habitantes,Mortes a esclarecer,BA,2007.00,3.779785017
Taxa / 100 mil habitantes,Mortes a esclarecer,AP,2007.00,0.157711791
Taxa / 100 mil habitantes,Mortes a esclarecer,AM,2007.00,0.117938645
Taxa / 100 mil habitantes,Mortes a esclarecer,AL,2007.00,0.00
Taxa / 100 mil habitantes,Mortes a esclarecer,AC,2007.00,1.157747429
Taxa / 100 mil habitantes,Mortes a esclarecer,Brasil,2007.00,3.629737148
Taxa / 100 mil habitantes,Mortes a esclarecer,TO,2008.00,5.301772535
Taxa / 100 mil habitantes,Mortes a esclarecer,SP,2008.00,
Taxa / 100 mil habitantes,Mortes a esclarecer,SE,2008.00,14.711874709
Taxa / 100 mil habitantes,Mortes a esclarecer,SC,2008.00,8.371120995
Taxa / 100 mil habitantes,Mortes a esclarecer,RS,2008.00,
Taxa / 100 mil habitantes,Mortes a esclarecer,RR,2008.00,9.533905519
Taxa / 100 mil habitantes,Mortes a esclarecer,RO,2008.00,14.347628189
Taxa / 100 mil habitantes,Mortes a esclarecer,RN,2008.00,4.487131816
Taxa / 100 mil habitantes,Mortes a esclarecer,RJ,2008.00,11.935788108
Taxa / 100 mil habitantes,Mortes a esclarecer,PR,2008.00,16.659698245
Taxa / 100 mil habitantes,Mortes a esclarecer,PI,2008.00,1.706046842
Taxa / 100 mil habitantes,Mortes a esclarecer,PE,2008.00,19.624841469
Taxa / 100 mil habitantes,Mortes a esclarecer,PB,2008.00,2.798875225
Taxa / 100 mil habitantes,Mortes a esclarecer,PA,2008.00,0.00
Taxa / 100 mil habitantes,Mortes a esclarecer,MT,2008.00,6.595645656
Taxa / 100 mil habitantes,Mortes a esclarecer,MS,2008.00,14.603069540
Taxa / 100 mil habitantes,Mortes a esclarecer,MG,2008.00,0.055571615
Taxa / 100 mil habitantes,Mortes a esclarecer,MA,2008.00,0.123862229
Taxa / 100 mil habitantes,Mortes a esclarecer,GO,2008.00,26.606191437
Taxa / 100 mil habitantes,Mortes a esclarecer,ES,2008.00,4.001640673
Taxa / 100 mil habitantes,Mortes a esclarecer,DF,2008.00,1.529994536
Taxa / 100 mil habitantes,Mortes a esclarecer,CE,2008.00,3.934829242
Taxa / 100 mil habitantes,Mortes a esclarecer,BA,2008.00,4.114534349
Taxa / 100 mil habitantes,Mortes a esclarecer,AP,2008.00,0.460138931
Taxa / 100 mil habitantes,Mortes a esclarecer,AM,2008.00,0.404208153
Taxa / 100 mil habitantes,Mortes a esclarecer,AL,2008.00,0.975463935
Taxa / 100 mil habitantes,Mortes a esclarecer,AC,2008.00,0.992014285
Taxa / 100 mil habitantes,Mortes a esclarecer,Brasil,2008.00,5.308761301
Taxa / 100 mil habitantes,Mortes a esclarecer,TO,2009.00,6.436230543
Taxa / 100 mil habitantes,Mortes a esclarecer,SP,2009.00,
Taxa / 100 mil habitantes,Mortes a esclarecer,SE,2009.00,17.673692995
Taxa / 100 mil habitantes,Mortes a esclarecer,SC,2009.00,3.531946456
Taxa / 100 mil habitantes,Mortes a esclarecer,RS,2009.00,10.706725018
Taxa / 100 mil habitantes,Mortes a esclarecer,RR,2009.00,18.183068016
Taxa / 100 mil habitantes,Mortes a esclarecer,RO,2009.00,16.396370368
Taxa / 100 mil habitantes,Mortes a esclarecer,RN,2009.00,4.091426014
