Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),TO,2007.00,3.542937449
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),SP,2007.00,
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),SE,2007.00,
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),SC,2007.00,3.787878788
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),RS,2007.00,
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),RR,2007.00,
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),RO,2007.00,3.390596745
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),RN,2007.00,
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),RJ,2007.00,3.105543121
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),PR,2007.00,
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),PI,2007.00,0.324146377
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),PE,2007.00,2.939553291
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),PB,2007.00,1.775614995
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),PA,2007.00,
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),MT,2007.00,3.815795399
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),MS,2007.00,0.545741537
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),MG,2007.00,1.106310753
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),MA,2007.00,0.266396175
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),GO,2007.00,1.622573100
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),ES,2007.00,1.014480583
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),DF,2007.00,6.546882058
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),CE,2007.00,0.108089347
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),BA,2007.00,3.440573542
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),AP,2007.00,0.157711791
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),AM,2007.00,0.678147207
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),AL,2007.00,5.240778850
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),AC,2007.00,2.749650143
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),Brasil,2007.00,1.327965489
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),TO,2008.00,3.122961904
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),SP,2008.00,
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),SE,2008.00,0.00
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),SC,2008.00,
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),RS,2008.00,
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),RR,2008.00,0.00
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),RO,2008.00,2.102669648
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),RN,2008.00,0.00
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),RJ,2008.00,3.133696085
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),PR,2008.00,0.483852284
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),PI,2008.00,0.064379126
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),PE,2008.00,0.475891075
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),PB,2008.00,2.479003771
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),PA,2008.00,0.00
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),MT,2008.00,3.382382388
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),MS,2008.00,0.330947752
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),MG,2008.00,0.373845411
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),MA,2008.00,0.665759479
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),GO,2008.00,1.124678124
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),ES,2008.00,2.417657906
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),DF,2008.00,7.086290484
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),CE,2008.00,0.083213911
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),BA,2008.00,2.623960136
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),AP,2008.00,0.00
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),AM,2008.00,0.548568208
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),AL,2008.00,3.744522849
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),AC,2008.00,1.417163264
Taxa / 100 mil habitantes,Outras mortes acidentais (exceto homicídio culposo),Brasil,2008.00,0.967982243
