Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Taxa / 100 mil habitantes,Outros homicídios culposos,TO,2007.00,1.623846331
Taxa / 100 mil habitantes,Outros homicídios culposos,SP,2007.00,0.686653942
Taxa / 100 mil habitantes,Outros homicídios culposos,SE,2007.00,0.196216841
Taxa / 100 mil habitantes,Outros homicídios culposos,SC,2007.00,2.124505929
Taxa / 100 mil habitantes,Outros homicídios culposos,RS,2007.00,
Taxa / 100 mil habitantes,Outros homicídios culposos,RR,2007.00,0.931519355
Taxa / 100 mil habitantes,Outros homicídios culposos,RO,2007.00,0.125577657
Taxa / 100 mil habitantes,Outros homicídios culposos,RN,2007.00,5.021369423
Taxa / 100 mil habitantes,Outros homicídios culposos,RJ,2007.00,1.714717061
Taxa / 100 mil habitantes,Outros homicídios culposos,PR,2007.00,
Taxa / 100 mil habitantes,Outros homicídios culposos,PI,2007.00,0.842780579
Taxa / 100 mil habitantes,Outros homicídios culposos,PE,2007.00,0.400328269
Taxa / 100 mil habitantes,Outros homicídios culposos,PB,2007.00,0.430452120
Taxa / 100 mil habitantes,Outros homicídios culposos,PA,2007.00,0.398296335
Taxa / 100 mil habitantes,Outros homicídios culposos,MT,2007.00,1.581320616
Taxa / 100 mil habitantes,Outros homicídios culposos,MS,2007.00,1.385343901
Taxa / 100 mil habitantes,Outros homicídios culposos,MG,2007.00,
Taxa / 100 mil habitantes,Outros homicídios culposos,MA,2007.00,3.306446646
Taxa / 100 mil habitantes,Outros homicídios culposos,GO,2007.00,1.007703294
Taxa / 100 mil habitantes,Outros homicídios culposos,ES,2007.00,0.00
Taxa / 100 mil habitantes,Outros homicídios culposos,DF,2007.00,0.452928947
Taxa / 100 mil habitantes,Outros homicídios culposos,CE,2007.00,
Taxa / 100 mil habitantes,Outros homicídios culposos,BA,2007.00,0.325366110
Taxa / 100 mil habitantes,Outros homicídios culposos,AP,2007.00,0.473135373
Taxa / 100 mil habitantes,Outros homicídios culposos,AM,2007.00,0.176907967
Taxa / 100 mil habitantes,Outros homicídios culposos,AL,2007.00,0.603483625
Taxa / 100 mil habitantes,Outros homicídios culposos,AC,2007.00,0.289436857
Taxa / 100 mil habitantes,Outros homicídios culposos,Brasil,2007.00,0.746848635
Taxa / 100 mil habitantes,Outros homicídios culposos,TO,2008.00,0.508389147
Taxa / 100 mil habitantes,Outros homicídios culposos,SP,2008.00,0.741867351
Taxa / 100 mil habitantes,Outros homicídios culposos,SE,2008.00,2.129350287
Taxa / 100 mil habitantes,Outros homicídios culposos,SC,2008.00,0.957163060
Taxa / 100 mil habitantes,Outros homicídios culposos,RS,2008.00,
Taxa / 100 mil habitantes,Outros homicídios culposos,RR,2008.00,0.680993251
Taxa / 100 mil habitantes,Outros homicídios culposos,RO,2008.00,0.309216125
Taxa / 100 mil habitantes,Outros homicídios culposos,RN,2008.00,0.784463604
Taxa / 100 mil habitantes,Outros homicídios culposos,RJ,2008.00,1.563695431
Taxa / 100 mil habitantes,Outros homicídios culposos,PR,2008.00,1.755150442
Taxa / 100 mil habitantes,Outros homicídios culposos,PI,2008.00,0.933497328
Taxa / 100 mil habitantes,Outros homicídios culposos,PE,2008.00,0.339922196
Taxa / 100 mil habitantes,Outros homicídios culposos,PB,2008.00,0.319871454
Taxa / 100 mil habitantes,Outros homicídios culposos,PA,2008.00,0.040526767
Taxa / 100 mil habitantes,Outros homicídios culposos,MT,2008.00,1.454424427
Taxa / 100 mil habitantes,Outros homicídios culposos,MS,2008.00,1.034211724
Taxa / 100 mil habitantes,Outros homicídios culposos,MG,2008.00,0.00
Taxa / 100 mil habitantes,Outros homicídios culposos,MA,2008.00,2.229520116
Taxa / 100 mil habitantes,Outros homicídios culposos,GO,2008.00,1.091105643
Taxa / 100 mil habitantes,Outros homicídios culposos,ES,2008.00,0.527994255
Taxa / 100 mil habitantes,Outros homicídios culposos,DF,2008.00,0.322104113
Taxa / 100 mil habitantes,Outros homicídios culposos,CE,2008.00,0.00
Taxa / 100 mil habitantes,Outros homicídios culposos,BA,2008.00,0.336581274
Taxa / 100 mil habitantes,Outros homicídios culposos,AP,2008.00,0.306759288
Taxa / 100 mil habitantes,Outros homicídios culposos,AM,2008.00,0.259848099
Taxa / 100 mil habitantes,Outros homicídios culposos,AL,2008.00,0.566398414
Taxa / 100 mil habitantes,Outros homicídios culposos,AC,2008.00,0.425148979
Taxa / 100 mil habitantes,Outros homicídios culposos,Brasil,2008.00,0.701708811
Taxa / 100 mil habitantes,Outros homicídios culposos,TO,2009.00,0.572109382
Taxa / 100 mil habitantes,Outros homicídios culposos,SP,2009.00,0.677350327
Taxa / 100 mil habitantes,Outros homicídios culposos,SE,2009.00,1.385235397
Taxa / 100 mil habitantes,Outros homicídios culposos,SC,2009.00,3.436056507
Taxa / 100 mil habitantes,Outros homicídios culposos,RS,2009.00,0.00
Taxa / 100 mil habitantes,Outros homicídios culposos,RR,2009.00,0.665234196
Taxa / 100 mil habitantes,Outros homicídios culposos,RO,2009.00,0.487624398
Taxa / 100 mil habitantes,Outros homicídios culposos,RN,2009.00,0.619913032
Taxa / 100 mil habitantes,Outros homicídios culposos,RJ,2009.00,1.308778232
Taxa / 100 mil habitantes,Outros homicídios culposos,PR,2009.00,2.566738733
Taxa / 100 mil habitantes,Outros homicídios culposos,PI,2009.00,0.831755663
Taxa / 100 mil habitantes,Outros homicídios culposos,PE,2009.00,0.348060874
Taxa / 100 mil habitantes,Outros homicídios culposos,PB,2009.00,0.316990869
Taxa / 100 mil habitantes,Outros homicídios culposos,PA,2009.00,0.239309003
Taxa / 100 mil habitantes,Outros homicídios culposos,MT,2009.00,1.198677459
Taxa / 100 mil habitantes,Outros homicídios culposos,MS,2009.00,1.875989738
Taxa / 100 mil habitantes,Outros homicídios culposos,MG,2009.00,
Taxa / 100 mil habitantes,Outros homicídios culposos,MA,2009.00,2.892992789
Taxa / 100 mil habitantes,Outros homicídios culposos,GO,2009.00,0.511773515
Taxa / 100 mil habitantes,Outros homicídios culposos,ES,2009.00,0.191882020
Taxa / 100 mil habitantes,Outros homicídios culposos,DF,2009.00,0.118043593
Taxa / 100 mil habitantes,Outros homicídios culposos,CE,2009.00,
Taxa / 100 mil habitantes,Outros homicídios culposos,BA,2009.00,0.279561783
Taxa / 100 mil habitantes,Outros homicídios culposos,AP,2009.00,0.00
Taxa / 100 mil habitantes,Outros homicídios culposos,AM,2009.00,0.452686354
Taxa / 100 mil habitantes,Outros homicídios culposos,AL,2009.00,0.374322593
Taxa / 100 mil habitantes,Outros homicídios culposos,AC,2009.00,0.416590292
Taxa / 100 mil habitantes,Outros homicídios culposos,Brasil,2009.00,0.785867939
Taxa / 100 mil habitantes,Outros homicídios culposos,TO,2010.00,0.563737580
Taxa / 100 mil habitantes,Outros homicídios culposos,SP,2010.00,0.687274029
Taxa / 100 mil habitantes,Outros homicídios culposos,SE,2010.00,2.264095409
Taxa / 100 mil habitantes,Outros homicídios culposos,SC,2010.00,2.109765095
Taxa / 100 mil habitantes,Outros homicídios culposos,RS,2010.00,0.00
Taxa / 100 mil habitantes,Outros homicídios culposos,RR,2010.00,0.434142720
Taxa / 100 mil habitantes,Outros homicídios culposos,RO,2010.00,0.240458314
Taxa / 100 mil habitantes,Outros homicídios culposos,RN,2010.00,1.378403239
Taxa / 100 mil habitantes,Outros homicídios culposos,RJ,2010.00,1.461987758
