Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,TO,2007.00,0.221433591
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,SP,2007.00,
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,SE,2007.00,0.00
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,SC,2007.00,0.691699605
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,RS,2007.00,
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,RR,2007.00,
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,RO,2007.00,0.251155314
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,RN,2007.00,2.733150445
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,RJ,2007.00,0.749394864
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,PR,2007.00,
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,PI,2007.00,
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,PE,2007.00,0.228759011
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,PB,2007.00,0.242129318
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,PA,2007.00,0.00
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,MT,2007.00,0.962542984
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,MS,2007.00,0.503761419
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,MG,2007.00,
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,MA,2007.00,0.141033269
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,GO,2007.00,0.341594337
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,ES,2007.00,0.00
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,DF,2007.00,0.452928947
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,CE,2007.00,0.00
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,BA,2007.00,0.138453664
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,AP,2007.00,0.157711791
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,AM,2007.00,0.943509158
Taxa / 100 mil habitantes,Outros crimes resultantes em morte,AL,2007.00,0.00
