Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Taxa / 100 mil habitantes,Suicídio,TO,2007.00,5.462028568
Taxa / 100 mil habitantes,Suicídio,SP,2007.00,
Taxa / 100 mil habitantes,Suicídio,SE,2007.00,0.637704734
Taxa / 100 mil habitantes,Suicídio,SC,2007.00,6.801712780
Taxa / 100 mil habitantes,Suicídio,RS,2007.00,7.976411216
Taxa / 100 mil habitantes,Suicídio,RR,2007.00,9.315193546
Taxa / 100 mil habitantes,Suicídio,RO,2007.00,2.951074945
Taxa / 100 mil habitantes,Suicídio,RN,2007.00,2.637807988
Taxa / 100 mil habitantes,Suicídio,RJ,2007.00,1.822680728
Taxa / 100 mil habitantes,Suicídio,PR,2007.00,
Taxa / 100 mil habitantes,Suicídio,PI,2007.00,2.787658840
Taxa / 100 mil habitantes,Suicídio,PE,2007.00,3.225502055
Taxa / 100 mil habitantes,Suicídio,PB,2007.00,2.717229008
Taxa / 100 mil habitantes,Suicídio,PA,2007.00,0.439499405
Taxa / 100 mil habitantes,Suicídio,MT,2007.00,5.568998691
Taxa / 100 mil habitantes,Suicídio,MS,2007.00,6.213057496
Taxa / 100 mil habitantes,Suicídio,MG,2007.00,2.294192807
Taxa / 100 mil habitantes,Suicídio,MA,2007.00,1.394662330
Taxa / 100 mil habitantes,Suicídio,GO,2007.00,3.091428749
Taxa / 100 mil habitantes,Suicídio,ES,2007.00,3.099801782
Taxa / 100 mil habitantes,Suicídio,DF,2007.00,4.117535885
Taxa / 100 mil habitantes,Suicídio,CE,2007.00,3.518908730
Taxa / 100 mil habitantes,Suicídio,BA,2007.00,3.011367184
Taxa / 100 mil habitantes,Suicídio,AP,2007.00,1.734829703
Taxa / 100 mil habitantes,Suicídio,AM,2007.00,0.884539836
Taxa / 100 mil habitantes,Suicídio,AL,2007.00,1.810450875
Taxa / 100 mil habitantes,Suicídio,AC,2007.00,1.157747429
Taxa / 100 mil habitantes,Suicídio,Brasil,2007.00,2.320772756
Taxa / 100 mil habitantes,Suicídio,TO,2008.00,4.212367220
Taxa / 100 mil habitantes,Suicídio,SP,2008.00,
Taxa / 100 mil habitantes,Suicídio,SE,2008.00,1.355041092
Taxa / 100 mil habitantes,Suicídio,SC,2008.00,7.397734833
Taxa / 100 mil habitantes,Suicídio,RS,2008.00,11.368889474
Taxa / 100 mil habitantes,Suicídio,RR,2008.00,2.723973005
Taxa / 100 mil habitantes,Suicídio,RO,2008.00,4.205339297
Taxa / 100 mil habitantes,Suicídio,RN,2008.00,2.667176254
Taxa / 100 mil habitantes,Suicídio,RJ,2008.00,1.809599148
Taxa / 100 mil habitantes,Suicídio,PR,2008.00,2.115667830
Taxa / 100 mil habitantes,Suicídio,PI,2008.00,2.639544170
Taxa / 100 mil habitantes,Suicídio,PE,2008.00,2.810023490
Taxa / 100 mil habitantes,Suicídio,PB,2008.00,3.278682407
Taxa / 100 mil habitantes,Suicídio,PA,2008.00,0.918606717
Taxa / 100 mil habitantes,Suicídio,MT,2008.00,5.377987997
Taxa / 100 mil habitantes,Suicídio,MS,2008.00,5.667480247
Taxa / 100 mil habitantes,Suicídio,MG,2008.00,2.066253692
Taxa / 100 mil habitantes,Suicídio,MA,2008.00,1.656657308
Taxa / 100 mil habitantes,Suicídio,GO,2008.00,3.222958206
Taxa / 100 mil habitantes,Suicídio,ES,2008.00,2.945652162
Taxa / 100 mil habitantes,Suicídio,DF,2008.00,4.187353468
Taxa / 100 mil habitantes,Suicídio,CE,2008.00,3.304781055
Taxa / 100 mil habitantes,Suicídio,BA,2008.00,3.125397544
Taxa / 100 mil habitantes,Suicídio,AP,2008.00,3.681111450
Taxa / 100 mil habitantes,Suicídio,AM,2008.00,1.154880438
Taxa / 100 mil habitantes,Suicídio,AL,2008.00,2.548792863
Taxa / 100 mil habitantes,Suicídio,AC,2008.00,0.708581632
Taxa / 100 mil habitantes,Suicídio,Brasil,2008.00,2.649681707
Taxa / 100 mil habitantes,Suicídio,TO,2009.00,4.791416071
Taxa / 100 mil habitantes,Suicídio,SP,2009.00,
Taxa / 100 mil habitantes,Suicídio,SE,2009.00,1.576302348
