Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Números absolutos,Estupro,TO,2009,347
Números absolutos,Estupro,SP,2009,5645
Números absolutos,Estupro,SE,2009,330
Números absolutos,Estupro,SC,2009,3063
Números absolutos,Estupro,RS,2009,3615
Números absolutos,Estupro,RR,2009,363
Números absolutos,Estupro,RO,2009,569
Números absolutos,Estupro,RN,2009,495
Números absolutos,Estupro,RJ,2009,3778
Números absolutos,Estupro,PR,2009,1524
Números absolutos,Estupro,PI,2009,313
Números absolutos,Estupro,PE,2009,1528
Números absolutos,Estupro,PB,2009,257
Números absolutos,Estupro,PA,2009,1554
Números absolutos,Estupro,MT,2009,1143
Números absolutos,Estupro,MS,2009,741
Números absolutos,Estupro,MG,2009,937
Números absolutos,Estupro,MA,2009,960
Números absolutos,Estupro,GO,2009,1400
Números absolutos,Estupro,ES,2009,226
Números absolutos,Estupro,DF,2009,601
Números absolutos,Estupro,CE,2009,1145
Números absolutos,Estupro,BA,2009,2242
Números absolutos,Estupro,AP,2009,169
Números absolutos,Estupro,AM,2009,694
Números absolutos,Estupro,AL,2009,142
Números absolutos,Estupro,AC,2009,131
Números absolutos,Estupro,TO,2010,344
Números absolutos,Estupro,SP,2010,9879
Números absolutos,Estupro,SE,2010,292
Números absolutos,Estupro,SC,2010,2118
Números absolutos,Estupro,RS,2010,3373
Números absolutos,Estupro,RR,2010,306
Números absolutos,Estupro,RO,2010,735
Números absolutos,Estupro,RN,2010,698
Números absolutos,Estupro,RJ,2010,4467
Números absolutos,Estupro,PR,2010,2643
Números absolutos,Estupro,PI,2010,281
Números absolutos,Estupro,PE,2010,1861
Números absolutos,Estupro,PB,2010,261
Números absolutos,Estupro,PA,2010,1471
Números absolutos,Estupro,MT,2010,1075
Números absolutos,Estupro,MS,2010,943
Números absolutos,Estupro,MG,2010,2295
Números absolutos,Estupro,MA,2010,845
Números absolutos,Estupro,GO,2010,1141
Números absolutos,Estupro,ES,2010,885
Números absolutos,Estupro,DF,2010,760
Números absolutos,Estupro,CE,2010,577
Números absolutos,Estupro,BA,2010,2160
Números absolutos,Estupro,AP,2010,66
Números absolutos,Estupro,AM,2010,1144
Números absolutos,Estupro,AL,2010,391
Números absolutos,Estupro,AC,2010,169
Números absolutos,Estupro,TO,2011,363
Números absolutos,Estupro,SP,2011,10399
Números absolutos,Estupro,SE,2011,321
Números absolutos,Estupro,SC,2011,2355
Números absolutos,Estupro,RS,2011,3852
Números absolutos,Estupro,RR,2011,292
Números absolutos,Estupro,RO,2011,815
Números absolutos,Estupro,RN,2011,404
Números absolutos,Estupro,RJ,2011,4742
Números absolutos,Estupro,PR,2011,3218
Números absolutos,Estupro,PI,2011,238
Números absolutos,Estupro,PE,2011,1972
Números absolutos,Estupro,PB,2011,265
Números absolutos,Estupro,PA,2011,2100
Números absolutos,Estupro,MT,2011,1063
Números absolutos,Estupro,MS,2011,1008
Números absolutos,Estupro,MG,2011,1760
Números absolutos,Estupro,MA,2011,972
Números absolutos,Estupro,GO,2011,1222
Números absolutos,Estupro,ES,2011,694
Números absolutos,Estupro,DF,2011,735
Números absolutos,Estupro,CE,2011,1331
Números absolutos,Estupro,BA,2011,2068
Números absolutos,Estupro,AP,2011,10
Números absolutos,Estupro,AM,2011,1058
Números absolutos,Estupro,AL,2011,387
Números absolutos,Estupro,AC,2011,225
Números absolutos,Estupro,TO,2012,396
Números absolutos,Estupro,SP,2012,12886
Números absolutos,Estupro,SE,2012,465
Números absolutos,Estupro,SC,2012,2867
Números absolutos,Estupro,RS,2012,3805
Números absolutos,Estupro,RR,2012,245
Números absolutos,Estupro,RO,2012,885
Números absolutos,Estupro,RN,2012,329
Números absolutos,Estupro,RJ,2012,5971
Números absolutos,Estupro,PR,2012,3523
Números absolutos,Estupro,PI,2012,442
Números absolutos,Estupro,PE,2012,2107
Números absolutos,Estupro,PB,2012,336
Números absolutos,Estupro,PA,2012,2393
Números absolutos,Estupro,MT,2012,1204
Números absolutos,Estupro,MS,2012,1358
Números absolutos,Estupro,MG,2012,1741
Números absolutos,Estupro,MA,2012,967
Números absolutos,Estupro,GO,2012,492
Números absolutos,Estupro,ES,2012,648
Números absolutos,Estupro,DF,2012,864
Números absolutos,Estupro,CE,2012,1485
Números absolutos,Estupro,BA,2012,2512
Números absolutos,Estupro,AP,2012,383
Números absolutos,Estupro,AM,2012,1031
Números absolutos,Estupro,AL,2012,493
Números absolutos,Estupro,AC,2012,396
Números absolutos,Estupro,TO,2013,452
Números absolutos,Estupro,SP,2013,12057
Números absolutos,Estupro,SE,2013,498
Números absolutos,Estupro,SC,2013,3004
Números absolutos,Estupro,RS,2013,3147
Números absolutos,Estupro,RR,2013,302
Números absolutos,Estupro,RO,2013,833
Números absolutos,Estupro,RN,2013,240
Números absolutos,Estupro,RJ,2013,5885
Números absolutos,Estupro,PR,2013,3584
Números absolutos,Estupro,PI,2013,443
Números absolutos,Estupro,PE,2013,2525
Números absolutos,Estupro,PB,2013,310
Números absolutos,Estupro,PA,2013,3015
Números absolutos,Estupro,MT,2013,1390
Números absolutos,Estupro,MS,2013,1361
Números absolutos,Estupro,MG,2013,874
Números absolutos,Estupro,MA,2013,1034
Números absolutos,Estupro,GO,2013,513
Números absolutos,Estupro,ES,2013,355
Números absolutos,Estupro,DF,2013,867
Números absolutos,Estupro,CE,2013,1675
Números absolutos,Estupro,BA,2013,3149
Números absolutos,Estupro,AP,2013,469
Números absolutos,Estupro,AM,2013,1433
Números absolutos,Estupro,AL,2013,1275
Números absolutos,Estupro,AC,2013,400
Números absolutos,Estupro,TO,2014,425
Números absolutos,Estupro,SP,2014,10026
Números absolutos,Estupro,SE,2014,510
Números absolutos,Estupro,SC,2014,2832
Números absolutos,Estupro,RS,2014,3176
