Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Números absolutos,Estupro,TO,2009.00,347.00
Números absolutos,Estupro,SP,2009.00,5645.00
Números absolutos,Estupro,SE,2009.00,330.00
Números absolutos,Estupro,SC,2009.00,3063.00
Números absolutos,Estupro,RS,2009.00,3615.00
Números absolutos,Estupro,RR,2009.00,363.00
Números absolutos,Estupro,RO,2009.00,569.00
Números absolutos,Estupro,RN,2009.00,495.00
Números absolutos,Estupro,RJ,2009.00,3778.00
Números absolutos,Estupro,PR,2009.00,1524.00
Números absolutos,Estupro,PI,2009.00,313.00
Números absolutos,Estupro,PE,2009.00,1528.00
Números absolutos,Estupro,PB,2009.00,257.00
Números absolutos,Estupro,PA,2009.00,1554.00
Números absolutos,Estupro,MT,2009.00,1143.00
Números absolutos,Estupro,MS,2009.00,741.00
Números absolutos,Estupro,MG,2009.00,937.00
Números absolutos,Estupro,MA,2009.00,960.00
Números absolutos,Estupro,GO,2009.00,1400.00
Números absolutos,Estupro,ES,2009.00,226.00
Números absolutos,Estupro,DF,2009.00,601.00
Números absolutos,Estupro,CE,2009.00,1145.00
Números absolutos,Estupro,BA,2009.00,2242.00
Números absolutos,Estupro,AP,2009.00,169.00
Números absolutos,Estupro,AM,2009.00,694.00
Números absolutos,Estupro,AL,2009.00,142.00
Números absolutos,Estupro,AC,2009.00,131.00
Números absolutos,Estupro,TO,2010.00,344.00
Números absolutos,Estupro,SP,2010.00,9879.00
Números absolutos,Estupro,SE,2010.00,292.00
Números absolutos,Estupro,SC,2010.00,2118.00
Números absolutos,Estupro,RS,2010.00,3373.00
Números absolutos,Estupro,RR,2010.00,306.00
Números absolutos,Estupro,RO,2010.00,735.00
Números absolutos,Estupro,RN,2010.00,698.00
Números absolutos,Estupro,RJ,2010.00,4467.00
Números absolutos,Estupro,PR,2010.00,2643.00
Números absolutos,Estupro,PI,2010.00,281.00
Números absolutos,Estupro,PE,2010.00,1861.00
Números absolutos,Estupro,PB,2010.00,261.00
Números absolutos,Estupro,PA,2010.00,1471.00
Números absolutos,Estupro,MT,2010.00,1075.00
Números absolutos,Estupro,MS,2010.00,943.00
Números absolutos,Estupro,MG,2010.00,2295.00
Números absolutos,Estupro,MA,2010.00,845.00
Números absolutos,Estupro,GO,2010.00,1141.00
Números absolutos,Estupro,ES,2010.00,885.00
Números absolutos,Estupro,DF,2010.00,760.00
Números absolutos,Estupro,CE,2010.00,577.00
Números absolutos,Estupro,BA,2010.00,2160.00
Números absolutos,Estupro,AP,2010.00,66.00
Números absolutos,Estupro,AM,2010.00,1144.00
Números absolutos,Estupro,AL,2010.00,391.00
Números absolutos,Estupro,AC,2010.00,169.00
Números absolutos,Estupro,TO,2011.00,363.00
Números absolutos,Estupro,SP,2011.00,10399.00
Números absolutos,Estupro,SE,2011.00,321.00
Números absolutos,Estupro,SC,2011.00,2355.00
Números absolutos,Estupro,RS,2011.00,3852.00
Números absolutos,Estupro,RR,2011.00,292.00
Números absolutos,Estupro,RO,2011.00,815.00
Números absolutos,Estupro,RN,2011.00,404.00
Números absolutos,Estupro,RJ,2011.00,4742.00
Números absolutos,Estupro,PR,2011.00,3218.00
Números absolutos,Estupro,PI,2011.00,238.00
Números absolutos,Estupro,PE,2011.00,1972.00
Números absolutos,Estupro,PB,2011.00,265.00
Números absolutos,Estupro,PA,2011.00,2100.00
Números absolutos,Estupro,MT,2011.00,1063.00
Números absolutos,Estupro,MS,2011.00,1008.00
Números absolutos,Estupro,MG,2011.00,1760.00
Números absolutos,Estupro,MA,2011.00,972.00
Números absolutos,Estupro,GO,2011.00,1222.00
Números absolutos,Estupro,ES,2011.00,694.00
Números absolutos,Estupro,DF,2011.00,735.00
Números absolutos,Estupro,CE,2011.00,1331.00
Números absolutos,Estupro,BA,2011.00,2068.00
Números absolutos,Estupro,AP,2011.00,10.00
Números absolutos,Estupro,AM,2011.00,1058.00
Números absolutos,Estupro,AL,2011.00,387.00
Números absolutos,Estupro,AC,2011.00,225.00
Números absolutos,Estupro,TO,2012.00,396.00
Números absolutos,Estupro,SP,2012.00,12886.00
Números absolutos,Estupro,SE,2012.00,465.00
Números absolutos,Estupro,SC,2012.00,2867.00
Números absolutos,Estupro,RS,2012.00,3805.00
Números absolutos,Estupro,RR,2012.00,245.00
Números absolutos,Estupro,RO,2012.00,885.00
Números absolutos,Estupro,RN,2012.00,329.00
Números absolutos,Estupro,RJ,2012.00,5971.00
Números absolutos,Estupro,PR,2012.00,3523.00
Números absolutos,Estupro,PI,2012.00,442.00
Números absolutos,Estupro,PE,2012.00,2107.00
Números absolutos,Estupro,PB,2012.00,336.00
Números absolutos,Estupro,PA,2012.00,2393.00
Números absolutos,Estupro,MT,2012.00,1204.00
Números absolutos,Estupro,MS,2012.00,1358.00
Números absolutos,Estupro,MG,2012.00,1741.00
Números absolutos,Estupro,MA,2012.00,967.00
Números absolutos,Estupro,GO,2012.00,492.00
Números absolutos,Estupro,ES,2012.00,648.00
Números absolutos,Estupro,DF,2012.00,864.00
Números absolutos,Estupro,CE,2012.00,1485.00
Números absolutos,Estupro,BA,2012.00,2512.00
Números absolutos,Estupro,AP,2012.00,383.00
Números absolutos,Estupro,AM,2012.00,1031.00
Números absolutos,Estupro,AL,2012.00,493.00
Números absolutos,Estupro,AC,2012.00,396.00
Números absolutos,Estupro,TO,2013.00,452.00
Números absolutos,Estupro,SP,2013.00,12057.00
Números absolutos,Estupro,SE,2013.00,498.00
Números absolutos,Estupro,SC,2013.00,3004.00
Números absolutos,Estupro,RS,2013.00,3147.00
Números absolutos,Estupro,RR,2013.00,302.00
Números absolutos,Estupro,RO,2013.00,833.00
Números absolutos,Estupro,RN,2013.00,240.00
Números absolutos,Estupro,RJ,2013.00,5885.00
Números absolutos,Estupro,PR,2013.00,3584.00
Números absolutos,Estupro,PI,2013.00,443.00
Números absolutos,Estupro,PE,2013.00,2525.00
Números absolutos,Estupro,PB,2013.00,310.00
Números absolutos,Estupro,PA,2013.00,3015.00
Números absolutos,Estupro,MT,2013.00,1390.00
Números absolutos,Estupro,MS,2013.00,1361.00
