Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Taxas /100 mil habitantes,Estupro,TO,2009,24.815244427
Taxas /100 mil habitantes,Estupro,SP,2009,13.416289814
Taxas /100 mil habitantes,Estupro,SE,2009,15.763023482
Taxas /100 mil habitantes,Estupro,SC,2009,48.951818976
Taxas /100 mil habitantes,Estupro,RS,2009,32.968322777
Taxas /100 mil habitantes,Estupro,RR,2009,80.493337680
Taxas /100 mil habitantes,Estupro,RO,2009,34.682285276
Taxas /100 mil habitantes,Estupro,RN,2009,15.342847552
Taxas /100 mil habitantes,Estupro,RJ,2009,23.658201731
Taxas /100 mil habitantes,Estupro,PR,2009,14.328607431
Taxas /100 mil habitantes,Estupro,PI,2009,10.013058564
Taxas /100 mil habitantes,Estupro,PE,2009,17.156032771
Taxas /100 mil habitantes,Estupro,PB,2009,6.788887779
Taxas /100 mil habitantes,Estupro,PA,2009,20.660343946
Taxas /100 mil habitantes,Estupro,MT,2009,38.058009330
Taxas /100 mil habitantes,Estupro,MS,2009,30.219747728
Taxas /100 mil habitantes,Estupro,MG,2009,4.692611416
Taxas /100 mil habitantes,Estupro,MA,2009,14.694566546
Taxas /100 mil habitantes,Estupro,GO,2009,23.112352281
Taxas /100 mil habitantes,Estupro,ES,2009,6.195048073
Taxas /100 mil habitantes,Estupro,DF,2009,23.648066407
Taxas /100 mil habitantes,Estupro,CE,2009,13.481444763
Taxas /100 mil habitantes,Estupro,BA,2009,15.287256551
Taxas /100 mil habitantes,Estupro,AP,2009,25.247998088
Taxas /100 mil habitantes,Estupro,AM,2009,19.635270605
Taxas /100 mil habitantes,Estupro,AL,2009,4.429484018
Taxas /100 mil habitantes,Estupro,AC,2009,18.191109408
Taxas /100 mil habitantes,Estupro,TO,2010,24.240715947
Taxas /100 mil habitantes,Estupro,SP,2010,23.251986763
Taxas /100 mil habitantes,Estupro,SE,2010,13.773247071
Taxas /100 mil habitantes,Estupro,SC,2010,33.346884113
Taxas /100 mil habitantes,Estupro,RS,2010,30.610679887
Taxas /100 mil habitantes,Estupro,RR,2010,66.423836172
Taxas /100 mil habitantes,Estupro,RO,2010,44.184215114
Taxas /100 mil habitantes,Estupro,RN,2010,21.380565801
Taxas /100 mil habitantes,Estupro,RJ,2010,27.790209858
Taxas /100 mil habitantes,Estupro,PR,2010,24.634258620
Taxas /100 mil habitantes,Estupro,PI,2010,8.940656314
Taxas /100 mil habitantes,Estupro,PE,2010,20.710781559
Taxas /100 mil habitantes,Estupro,PB,2010,6.833825709
Taxas /100 mil habitantes,Estupro,PA,2010,19.258111056
Taxas /100 mil habitantes,Estupro,MT,2010,35.253437784
Taxas /100 mil habitantes,Estupro,MS,2010,37.928500553
Taxas /100 mil habitantes,Estupro,MG,2010,11.398209125
Taxas /100 mil habitantes,Estupro,MA,2010,12.795508095
Taxas /100 mil habitantes,Estupro,GO,2010,18.536973057
Taxas /100 mil habitantes,Estupro,ES,2010,23.936755036
Taxas /100 mil habitantes,Estupro,DF,2010,29.207470656
Taxas /100 mil habitantes,Estupro,CE,2010,6.732959283
Taxas /100 mil habitantes,Estupro,BA,2010,14.625909853
Taxas /100 mil habitantes,Estupro,AP,2010,9.618341302
Taxas /100 mil habitantes,Estupro,AM,2010,31.741055140
Taxas /100 mil habitantes,Estupro,AL,2010,12.098386180
Taxas /100 mil habitantes,Estupro,AC,2010,23.010509948
Taxas /100 mil habitantes,Estupro,TO,2011,25.221031422
Taxas /100 mil habitantes,Estupro,SP,2011,24.246763643
Taxas /100 mil habitantes,Estupro,SE,2011,14.958444881
Taxas /100 mil habitantes,Estupro,SC,2011,36.533100307
Taxas /100 mil habitantes,Estupro,RS,2011,34.797184897
Taxas /100 mil habitantes,Estupro,RR,2011,62.135195119
Taxas /100 mil habitantes,Estupro,RO,2011,48.347953399
Taxas /100 mil habitantes,Estupro,RN,2011,12.234783064
Taxas /100 mil habitantes,Estupro,RJ,2011,29.315949836
Taxas /100 mil habitantes,Estupro,PR,2011,29.740062794
Taxas /100 mil habitantes,Estupro,PI,2011,7.536415453
Taxas /100 mil habitantes,Estupro,PE,2011,21.759985593
Taxas /100 mil habitantes,Estupro,PB,2011,6.879396648
Taxas /100 mil habitantes,Estupro,PA,2011,27.089807744
Taxas /100 mil habitantes,Estupro,MT,2011,34.350746652
Taxas /100 mil habitantes,Estupro,MS,2011,39.995159316
Taxas /100 mil habitantes,Estupro,MG,2011,8.672306787
Taxas /100 mil habitantes,Estupro,MA,2011,14.570579392
Taxas /100 mil habitantes,Estupro,GO,2011,19.550554823
Taxas /100 mil habitantes,Estupro,ES,2011,18.528520439
Taxas /100 mil habitantes,Estupro,DF,2011,27.585492508
Taxas /100 mil habitantes,Estupro,CE,2011,15.400404738
Taxas /100 mil habitantes,Estupro,BA,2011,13.911494507
Taxas /100 mil habitantes,Estupro,AP,2011,1.423207968
Taxas /100 mil habitantes,Estupro,AM,2011,28.805034837
Taxas /100 mil habitantes,Estupro,AL,2011,11.884738307
Taxas /100 mil habitantes,Estupro,AC,2011,30.055462347
Taxas /100 mil habitantes,Estupro,TO,2012,27.142529122
Taxas /100 mil habitantes,Estupro,SP,2012,29.772633289
Taxas /100 mil habitantes,Estupro,SE,2012,21.417349527
Taxas /100 mil habitantes,Estupro,SC,2012,43.833925838
Taxas /100 mil habitantes,Estupro,RS,2012,34.222977856
Taxas /100 mil habitantes,Estupro,RR,2012,51.140431625
Taxas /100 mil habitantes,Estupro,RO,2012,51.837082785
Taxas /100 mil habitantes,Estupro,RN,2012,9.854757646
Taxas /100 mil habitantes,Estupro,RJ,2012,36.690462520
Taxas /100 mil habitantes,Estupro,PR,2012,32.290368781
Taxas /100 mil habitantes,Estupro,PI,2012,13.936816402
Taxas /100 mil habitantes,Estupro,PE,2012,23.060850108
Taxas /100 mil habitantes,Estupro,PB,2012,8.651271866
Taxas /100 mil habitantes,Estupro,PA,2012,30.436258551
