Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Taxas /100 mil habitantes,Tentativa de estupro,TO,2009,4.719902398
Taxas /100 mil habitantes,Tentativa de estupro,SP,2009,
Taxas /100 mil habitantes,Tentativa de estupro,SE,2009,0.095533476
Taxas /100 mil habitantes,Tentativa de estupro,SC,2009,8.278498932
Taxas /100 mil habitantes,Tentativa de estupro,RS,2009,
Taxas /100 mil habitantes,Tentativa de estupro,RR,2009,9.978512935
Taxas /100 mil habitantes,Tentativa de estupro,RO,2009,12.190609939
Taxas /100 mil habitantes,Tentativa de estupro,RN,2009,26.315308225
Taxas /100 mil habitantes,Tentativa de estupro,RJ,2009,2.454741948
Taxas /100 mil habitantes,Tentativa de estupro,PR,2009,1.363286140
Taxas /100 mil habitantes,Tentativa de estupro,PI,2009,2.079389159
Taxas /100 mil habitantes,Tentativa de estupro,PE,2009,3.211142259
Taxas /100 mil habitantes,Tentativa de estupro,PB,2009,1.373627099
Taxas /100 mil habitantes,Tentativa de estupro,PA,2009,0.066474723
Taxas /100 mil habitantes,Tentativa de estupro,MT,2009,5.660421335
Taxas /100 mil habitantes,Tentativa de estupro,MS,2009,3.874326632
Taxas /100 mil habitantes,Tentativa de estupro,MG,2009,2.153492966
Taxas /100 mil habitantes,Tentativa de estupro,MA,2009,4.821654648
Taxas /100 mil habitantes,Tentativa de estupro,GO,2009,2.096620528
Taxas /100 mil habitantes,Tentativa de estupro,ES,2009,0.685292928
Taxas /100 mil habitantes,Tentativa de estupro,DF,2009,1.928045348
Taxas /100 mil habitantes,Tentativa de estupro,CE,2009,0.941935005
Taxas /100 mil habitantes,Tentativa de estupro,BA,2009,2.059211186
Taxas /100 mil habitantes,Tentativa de estupro,AP,2009,3.137325206
Taxas /100 mil habitantes,Tentativa de estupro,AM,2009,5.234185968
Taxas /100 mil habitantes,Tentativa de estupro,AL,2009,0.811032285
Taxas /100 mil habitantes,Tentativa de estupro,AC,2009,7.220898391
Taxas /100 mil habitantes,Tentativa de estupro,TO,2010,4.439433444
Taxas /100 mil habitantes,Tentativa de estupro,SP,2010,0
Taxas /100 mil habitantes,Tentativa de estupro,SE,2010,2.405601372
Taxas /100 mil habitantes,Tentativa de estupro,SC,2010,9.005862943
Taxas /100 mil habitantes,Tentativa de estupro,RS,2010,
Taxas /100 mil habitantes,Tentativa de estupro,RR,2010,13.024281602
Taxas /100 mil habitantes,Tentativa de estupro,RO,2010,9.197530493
Taxas /100 mil habitantes,Tentativa de estupro,RN,2010,31.550118589
Taxas /100 mil habitantes,Tentativa de estupro,RJ,2010,2.121437556
Taxas /100 mil habitantes,Tentativa de estupro,PR,2010,2.721605568
Taxas /100 mil habitantes,Tentativa de estupro,PI,2010,2.195392476
Taxas /100 mil habitantes,Tentativa de estupro,PE,2010,3.605745957
Taxas /100 mil habitantes,Tentativa de estupro,PB,2010,1.204429052
Taxas /100 mil habitantes,Tentativa de estupro,PA,2010,
