Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Números absolutos,Tentativa de estupro,TO,2009,66
Números absolutos,Tentativa de estupro,SP,2009,
Números absolutos,Tentativa de estupro,SE,2009,2
Números absolutos,Tentativa de estupro,SC,2009,518
Números absolutos,Tentativa de estupro,RS,2009,
Números absolutos,Tentativa de estupro,RR,2009,45
Números absolutos,Tentativa de estupro,RO,2009,200
Números absolutos,Tentativa de estupro,RN,2009,849
Números absolutos,Tentativa de estupro,RJ,2009,392
Números absolutos,Tentativa de estupro,PR,2009,145
Números absolutos,Tentativa de estupro,PI,2009,65
Números absolutos,Tentativa de estupro,PE,2009,286
Números absolutos,Tentativa de estupro,PB,2009,52
Números absolutos,Tentativa de estupro,PA,2009,5
Números absolutos,Tentativa de estupro,MT,2009,170
Números absolutos,Tentativa de estupro,MS,2009,95
Números absolutos,Tentativa de estupro,MG,2009,430
Números absolutos,Tentativa de estupro,MA,2009,315
Números absolutos,Tentativa de estupro,GO,2009,127
Números absolutos,Tentativa de estupro,ES,2009,25
Números absolutos,Tentativa de estupro,DF,2009,49
Números absolutos,Tentativa de estupro,CE,2009,80
Números absolutos,Tentativa de estupro,BA,2009,302
Números absolutos,Tentativa de estupro,AP,2009,21
Números absolutos,Tentativa de estupro,AM,2009,185
Números absolutos,Tentativa de estupro,AL,2009,26
Números absolutos,Tentativa de estupro,AC,2009,52
Números absolutos,Tentativa de estupro,TO,2010,63
Números absolutos,Tentativa de estupro,SP,2010,0
Números absolutos,Tentativa de estupro,SE,2010,51
Números absolutos,Tentativa de estupro,SC,2010,572
Números absolutos,Tentativa de estupro,RS,2010,
Números absolutos,Tentativa de estupro,RR,2010,60
Números absolutos,Tentativa de estupro,RO,2010,153
Números absolutos,Tentativa de estupro,RN,2010,1030
Números absolutos,Tentativa de estupro,RJ,2010,341
Números absolutos,Tentativa de estupro,PR,2010,292
Números absolutos,Tentativa de estupro,PI,2010,69
Números absolutos,Tentativa de estupro,PE,2010,324
Números absolutos,Tentativa de estupro,PB,2010,46
Números absolutos,Tentativa de estupro,PA,2010,
Números absolutos,Tentativa de estupro,MT,2010,163
Números absolutos,Tentativa de estupro,MS,2010,101
Números absolutos,Tentativa de estupro,MG,2010,785
Números absolutos,Tentativa de estupro,MA,2010,247
Números absolutos,Tentativa de estupro,GO,2010,89
Números absolutos,Tentativa de estupro,ES,2010,73
Números absolutos,Tentativa de estupro,DF,2010,219
Números absolutos,Tentativa de estupro,CE,2010,0
Números absolutos,Tentativa de estupro,BA,2010,287
Números absolutos,Tentativa de estupro,AP,2010,8
Números absolutos,Tentativa de estupro,AM,2010,265
Números absolutos,Tentativa de estupro,AL,2010,57
Números absolutos,Tentativa de estupro,AC,2010,51
Números absolutos,Tentativa de estupro,TO,2011,61
Números absolutos,Tentativa de estupro,SP,2011,
Números absolutos,Tentativa de estupro,SE,2011,48
Números absolutos,Tentativa de estupro,SC,2011,665
Números absolutos,Tentativa de estupro,RS,2011,
Números absolutos,Tentativa de estupro,RR,2011,62
Números absolutos,Tentativa de estupro,RO,2011,143
Números absolutos,Tentativa de estupro,RN,2011,16
Números absolutos,Tentativa de estupro,RJ,2011,378
Números absolutos,Tentativa de estupro,PR,2011,340
Números absolutos,Tentativa de estupro,PI,2011,69
Números absolutos,Tentativa de estupro,PE,2011,304
Números absolutos,Tentativa de estupro,PB,2011,36
Números absolutos,Tentativa de estupro,PA,2011,
Números absolutos,Tentativa de estupro,MT,2011,114
Números absolutos,Tentativa de estupro,MS,2011,81
Números absolutos,Tentativa de estupro,MG,2011,597
Números absolutos,Tentativa de estupro,MA,2011,304
Números absolutos,Tentativa de estupro,GO,2011,163
Números absolutos,Tentativa de estupro,ES,2011,67
Números absolutos,Tentativa de estupro,DF,2011,81
Números absolutos,Tentativa de estupro,CE,2011,1
Números absolutos,Tentativa de estupro,BA,2011,288
Números absolutos,Tentativa de estupro,AP,2011,2
