Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Números absolutos,Tentativa de estupro,TO,2009.00,66.00
Números absolutos,Tentativa de estupro,SP,2009.00,
Números absolutos,Tentativa de estupro,SE,2009.00,2.00
Números absolutos,Tentativa de estupro,SC,2009.00,518.00
Números absolutos,Tentativa de estupro,RS,2009.00,
Números absolutos,Tentativa de estupro,RR,2009.00,45.00
Números absolutos,Tentativa de estupro,RO,2009.00,200.00
Números absolutos,Tentativa de estupro,RN,2009.00,849.00
Números absolutos,Tentativa de estupro,RJ,2009.00,392.00
Números absolutos,Tentativa de estupro,PR,2009.00,145.00
Números absolutos,Tentativa de estupro,PI,2009.00,65.00
Números absolutos,Tentativa de estupro,PE,2009.00,286.00
Números absolutos,Tentativa de estupro,PB,2009.00,52.00
Números absolutos,Tentativa de estupro,PA,2009.00,5.00
Números absolutos,Tentativa de estupro,MT,2009.00,170.00
Números absolutos,Tentativa de estupro,MS,2009.00,95.00
Números absolutos,Tentativa de estupro,MG,2009.00,430.00
Números absolutos,Tentativa de estupro,MA,2009.00,315.00
Números absolutos,Tentativa de estupro,GO,2009.00,127.00
Números absolutos,Tentativa de estupro,ES,2009.00,25.00
Números absolutos,Tentativa de estupro,DF,2009.00,49.00
Números absolutos,Tentativa de estupro,CE,2009.00,80.00
Números absolutos,Tentativa de estupro,BA,2009.00,302.00
Números absolutos,Tentativa de estupro,AP,2009.00,21.00
Números absolutos,Tentativa de estupro,AM,2009.00,185.00
Números absolutos,Tentativa de estupro,AL,2009.00,26.00
Números absolutos,Tentativa de estupro,AC,2009.00,52.00
Números absolutos,Tentativa de estupro,TO,2010.00,63.00
Números absolutos,Tentativa de estupro,SP,2010.00,0.00
Números absolutos,Tentativa de estupro,SE,2010.00,51.00
Números absolutos,Tentativa de estupro,SC,2010.00,572.00
Números absolutos,Tentativa de estupro,RS,2010.00,
Números absolutos,Tentativa de estupro,RR,2010.00,60.00
Números absolutos,Tentativa de estupro,RO,2010.00,153.00
Números absolutos,Tentativa de estupro,RN,2010.00,1030.00
Números absolutos,Tentativa de estupro,RJ,2010.00,341.00
Números absolutos,Tentativa de estupro,PR,2010.00,292.00
Números absolutos,Tentativa de estupro,PI,2010.00,69.00
Números absolutos,Tentativa de estupro,PE,2010.00,324.00
Números absolutos,Tentativa de estupro,PB,2010.00,46.00
Números absolutos,Tentativa de estupro,PA,2010.00,
Números absolutos,Tentativa de estupro,MT,2010.00,163.00
Números absolutos,Tentativa de estupro,MS,2010.00,101.00
Números absolutos,Tentativa de estupro,MG,2010.00,785.00
Números absolutos,Tentativa de estupro,MA,2010.00,247.00
Números absolutos,Tentativa de estupro,GO,2010.00,89.00
Números absolutos,Tentativa de estupro,ES,2010.00,73.00
Números absolutos,Tentativa de estupro,DF,2010.00,219.00
Números absolutos,Tentativa de estupro,CE,2010.00,0.00
Números absolutos,Tentativa de estupro,BA,2010.00,287.00
Números absolutos,Tentativa de estupro,AP,2010.00,8.00
Números absolutos,Tentativa de estupro,AM,2010.00,265.00
Números absolutos,Tentativa de estupro,AL,2010.00,57.00
Números absolutos,Tentativa de estupro,AC,2010.00,51.00
Números absolutos,Tentativa de estupro,TO,2011.00,61.00
Números absolutos,Tentativa de estupro,SP,2011.00,
