uf;tent_hom_2016;tent_hom_2017;lesao_2016;lesao_2017
AC;29.26;53.28;;
AL;17.15;20.05;64.28;75.98
AP;37.71;33.34;790.37;704.76
AM;9.65;6.52;241.87;234.52
BA;18.06;17.95;202.41;199.86
CE;15.50;14.21;192.30;191.42
DF;31.84;29.84;381.56;391.45
ES;57.23;62.00;184.87;154.29
GO;45.85;36.66;36.28;50.86
MA;17.89;15.33;204.59;208.59
MT;43.32;39.35;374.04;420.45
MS;30.98;30.55;443.34;446.16
MG;23.95;20.55;326.83;319.59
PA;17.68;16.59;249.22;266.00
PB;7.03;6.51;77.31;67.30
PR;6.55;6.55;547.92;568.52
PE;38.13;44.84;150.50;151.93
PI;22.91;19.73;221.28;230.86
RJ;23.79;22.29;352.94;303.05
RN;11.54;8.98;50.94;48.13
RS;35.66;33.17;522.27;502.92
RO;48.51;41.98;562.53;540.76
RR;;;;
SC;21.14;21.71;522.04;540.77
SP;9.20;8.46;310.74;301.89
SE;15.80;14.86;408.25;381.23
TO;22.25;21.42;152.85;156.69
