Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Taxa / 100 instituições,Roubo a instituição financeira,TO,2007,
Taxa / 100 instituições,Roubo a instituição financeira,SP,2007,1.526022703
Taxa / 100 instituições,Roubo a instituição financeira,SE,2007,
Taxa / 100 instituições,Roubo a instituição financeira,SC,2007,2.923745555
Taxa / 100 instituições,Roubo a instituição financeira,RS,2007,
Taxa / 100 instituições,Roubo a instituição financeira,RR,2007,
Taxa / 100 instituições,Roubo a instituição financeira,RO,2007,
Taxa / 100 instituições,Roubo a instituição financeira,RN,2007,
Taxa / 100 instituições,Roubo a instituição financeira,RJ,2007,0.481927711
Taxa / 100 instituições,Roubo a instituição financeira,PR,2007,
Taxa / 100 instituições,Roubo a instituição financeira,PI,2007,
Taxa / 100 instituições,Roubo a instituição financeira,PE,2007,1.865423051
Taxa / 100 instituições,Roubo a instituição financeira,PB,2007,
Taxa / 100 instituições,Roubo a instituição financeira,PA,2007,
Taxa / 100 instituições,Roubo a instituição financeira,MT,2007,3.933253874
Taxa / 100 instituições,Roubo a instituição financeira,MS,2007,0.902061856
Taxa / 100 instituições,Roubo a instituição financeira,MG,2007,
Taxa / 100 instituições,Roubo a instituição financeira,MA,2007,
Taxa / 100 instituições,Roubo a instituição financeira,GO,2007,1.281269067
Taxa / 100 instituições,Roubo a instituição financeira,ES,2007,1.145374449
Taxa / 100 instituições,Roubo a instituição financeira,DF,2007,0
Taxa / 100 instituições,Roubo a instituição financeira,CE,2007,
Taxa / 100 instituições,Roubo a instituição financeira,BA,2007,
Taxa / 100 instituições,Roubo a instituição financeira,AP,2007,
Taxa / 100 instituições,Roubo a instituição financeira,AM,2007,
Taxa / 100 instituições,Roubo a instituição financeira,AL,2007,
Taxa / 100 instituições,Roubo a instituição financeira,AC,2007,
Taxa / 100 instituições,Roubo a instituição financeira,TO,2008,5.311778291
Taxa / 100 instituições,Roubo a instituição financeira,SP,2008,1.467068983
Taxa / 100 instituições,Roubo a instituição financeira,SE,2008,1.307189542
Taxa / 100 instituições,Roubo a instituição financeira,SC,2008,1.378254211
Taxa / 100 instituições,Roubo a instituição financeira,RS,2008,2.235772358
Taxa / 100 instituições,Roubo a instituição financeira,RR,2008,0
Taxa / 100 instituições,Roubo a instituição financeira,RO,2008,0.280898876
Taxa / 100 instituições,Roubo a instituição financeira,RN,2008,0.883652430
Taxa / 100 instituições,Roubo a instituição financeira,RJ,2008,0.920666014
Taxa / 100 instituições,Roubo a instituição financeira,PR,2008,0
Taxa / 100 instituições,Roubo a instituição financeira,PI,2008,0.806451613
Taxa / 100 instituições,Roubo a instituição financeira,PE,2008,1.801242236
Taxa / 100 instituições,Roubo a instituição financeira,PB,2008,6.580829757
Taxa / 100 instituições,Roubo a instituição financeira,PA,2008,6.131650135
Taxa / 100 instituições,Roubo a instituição financeira,MT,2008,2.092511013
Taxa / 100 instituições,Roubo a instituição financeira,MS,2008,2.339901478
Taxa / 100 instituições,Roubo a instituição financeira,MG,2008,0
Taxa / 100 instituições,Roubo a instituição financeira,MA,2008,2.110552764
Taxa / 100 instituições,Roubo a instituição financeira,GO,2008,1.298701299
Taxa / 100 instituições,Roubo a instituição financeira,ES,2008,5.674978504
Taxa / 100 instituições,Roubo a instituição financeira,DF,2008,0
Taxa / 100 instituições,Roubo a instituição financeira,CE,2008,1.528559936
Taxa / 100 instituições,Roubo a instituição financeira,BA,2008,3.095558546
Taxa / 100 instituições,Roubo a instituição financeira,AP,2008,0.549450549
Taxa / 100 instituições,Roubo a instituição financeira,AM,2008,2.168949772
Taxa / 100 instituições,Roubo a instituição financeira,AL,2008,0.963391137
Taxa / 100 instituições,Roubo a instituição financeira,AC,2008,0
Taxa / 100 instituições,Roubo a instituição financeira,TO,2009,1.943844492
Taxa / 100 instituições,Roubo a instituição financeira,SP,2009,1.283026523
Taxa / 100 instituições,Roubo a instituição financeira,SE,2009,0.428265525
Taxa / 100 instituições,Roubo a instituição financeira,SC,2009,3.234686855
Taxa / 100 instituições,Roubo a instituição financeira,RS,2009,1.506550218
Taxa / 100 instituições,Roubo a instituição financeira,RR,2009,0.757575758
Taxa / 100 instituições,Roubo a instituição financeira,RO,2009,1.333333333
Taxa / 100 instituições,Roubo a instituição financeira,RN,2009,0.949796472
Taxa / 100 instituições,Roubo a instituição financeira,RJ,2009,1.806331471
Taxa / 100 instituições,Roubo a instituição financeira,PR,2009,
Taxa / 100 instituições,Roubo a instituição financeira,PI,2009,0.188679245
Taxa / 100 instituições,Roubo a instituição financeira,PE,2009,0.533807829
Taxa / 100 instituições,Roubo a instituição financeira,PB,2009,1.908396947
Taxa / 100 instituições,Roubo a instituição financeira,PA,2009,9.809027778
Taxa / 100 instituições,Roubo a instituição financeira,MT,2009,3.846153846
Taxa / 100 instituições,Roubo a instituição financeira,MS,2009,0
Taxa / 100 instituições,Roubo a instituição financeira,MG,2009,0.332120829
Taxa / 100 instituições,Roubo a instituição financeira,MA,2009,1.544050863
Taxa / 100 instituições,Roubo a instituição financeira,GO,2009,1.194353963
Taxa / 100 instituições,Roubo a instituição financeira,ES,2009,1.269035533
Taxa / 100 instituições,Roubo a instituição financeira,DF,2009,0.486448923
Taxa / 100 instituições,Roubo a instituição financeira,CE,2009,1.020408163
Taxa / 100 instituições,Roubo a instituição financeira,BA,2009,2.809170165
Taxa / 100 instituições,Roubo a instituição financeira,AP,2009,
Taxa / 100 instituições,Roubo a instituição financeira,AM,2009,7.964601770
Taxa / 100 instituições,Roubo a instituição financeira,AL,2009,8.303249097
Taxa / 100 instituições,Roubo a instituição financeira,AC,2009,0.574712644
Taxa / 100 instituições,Roubo a instituição financeira,TO,2010,3.759398496
Taxa / 100 instituições,Roubo a instituição financeira,SP,2010,1.072045524
Taxa / 100 instituições,Roubo a instituição financeira,SE,2010,0.408163265
Taxa / 100 instituições,Roubo a instituição financeira,SC,2010,1.973220578
Taxa / 100 instituições,Roubo a instituição financeira,RS,2010,0.637348630
Taxa / 100 instituições,Roubo a instituição financeira,RR,2010,0
Taxa / 100 instituições,Roubo a instituição financeira,RO,2010,2.784810127
Taxa / 100 instituições,Roubo a instituição financeira,RN,2010,1.045296167
Taxa / 100 instituições,Roubo a instituição financeira,RJ,2010,1.043445267
Taxa / 100 instituições,Roubo a instituição financeira,PR,2010,7.950920245
