Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Números absolutos,Furto de veículo,TO,2013.00,1304.00
Números absolutos,Furto de veículo,SP,2013.00,116784.00
Números absolutos,Furto de veículo,SE,2013.00,
Números absolutos,Furto de veículo,SC,2013.00,12468.00
Números absolutos,Furto de veículo,RS,2013.00,16887.00
Números absolutos,Furto de veículo,RR,2013.00,85.00
Números absolutos,Furto de veículo,RO,2013.00,2681.00
Números absolutos,Furto de veículo,RN,2013.00,
Números absolutos,Furto de veículo,RJ,2013.00,17668.00
Números absolutos,Furto de veículo,PR,2013.00,15293.00
Números absolutos,Furto de veículo,PI,2013.00,1159.00
Números absolutos,Furto de veículo,PE,2013.00,3538.00
Números absolutos,Furto de veículo,PB,2013.00,285.00
Números absolutos,Furto de veículo,PA,2013.00,1753.00
Números absolutos,Furto de veículo,MT,2013.00,3204.00
Números absolutos,Furto de veículo,MS,2013.00,3214.00
Números absolutos,Furto de veículo,MG,2013.00,13689.00
Números absolutos,Furto de veículo,MA,2013.00,1348.00
Números absolutos,Furto de veículo,GO,2013.00,6117.00
Números absolutos,Furto de veículo,ES,2013.00,2996.00
Números absolutos,Furto de veículo,DF,2013.00,7186.00
Números absolutos,Furto de veículo,CE,2013.00,4862.00
Números absolutos,Furto de veículo,BA,2013.00,4790.00
Números absolutos,Furto de veículo,AP,2013.00,647.00
Números absolutos,Furto de veículo,AM,2013.00,1457.00
Números absolutos,Furto de veículo,AL,2013.00,753.00
Números absolutos,Furto de veículo,AC,2013.00,
Números absolutos,Furto de veículo,TO,2014.00,1421.00
Números absolutos,Furto de veículo,SP,2014.00,122769.00
Números absolutos,Furto de veículo,SE,2014.00,788.00
Números absolutos,Furto de veículo,SC,2014.00,13781.00
Números absolutos,Furto de veículo,RS,2014.00,18962.00
Números absolutos,Furto de veículo,RR,2014.00,571.00
Números absolutos,Furto de veículo,RO,2014.00,2666.00
Números absolutos,Furto de veículo,RN,2014.00,894.00
Números absolutos,Furto de veículo,RJ,2014.00,17684.00
Números absolutos,Furto de veículo,PR,2014.00,16453.00
Números absolutos,Furto de veículo,PI,2014.00,1456.00
Números absolutos,Furto de veículo,PE,2014.00,4305.00
Números absolutos,Furto de veículo,PB,2014.00,
Números absolutos,Furto de veículo,PA,2014.00,2136.00
Números absolutos,Furto de veículo,MT,2014.00,4026.00
Números absolutos,Furto de veículo,MS,2014.00,3569.00
Números absolutos,Furto de veículo,MG,2014.00,25918.00
Números absolutos,Furto de veículo,MA,2014.00,1735.00
Números absolutos,Furto de veículo,GO,2014.00,10455.00
Números absolutos,Furto de veículo,ES,2014.00,3456.00
Números absolutos,Furto de veículo,DF,2014.00,8353.00
Números absolutos,Furto de veículo,CE,2014.00,
Números absolutos,Furto de veículo,BA,2014.00,5478.00
Números absolutos,Furto de veículo,AP,2014.00,639.00
Números absolutos,Furto de veículo,AM,2014.00,1838.00
Números absolutos,Furto de veículo,AL,2014.00,863.00
Números absolutos,Furto de veículo,AC,2014.00,81.00
Números absolutos,Furto de veículo,TO,2015.00,1595.00
Números absolutos,Furto de veículo,SP,2015.00,110690.00
Números absolutos,Furto de veículo,SE,2015.00,881.00
Números absolutos,Furto de veículo,SC,2015.00,14062.00
Números absolutos,Furto de veículo,RS,2015.00,20435.00
Números absolutos,Furto de veículo,RR,2015.00,604.00
Números absolutos,Furto de veículo,RO,2015.00,3304.00
Números absolutos,Furto de veículo,RN,2015.00,940.00
Números absolutos,Furto de veículo,RJ,2015.00,16944.00
Números absolutos,Furto de veículo,PR,2015.00,17009.00
Números absolutos,Furto de veículo,PI,2015.00,1641.00
Números absolutos,Furto de veículo,PE,2015.00,4373.00
Números absolutos,Furto de veículo,PB,2015.00,
Números absolutos,Furto de veículo,PA,2015.00,2718.00
Números absolutos,Furto de veículo,MT,2015.00,3614.00
Números absolutos,Furto de veículo,MS,2015.00,3697.00
Números absolutos,Furto de veículo,MG,2015.00,27470.00
Números absolutos,Furto de veículo,MA,2015.00,2240.00
Números absolutos,Furto de veículo,GO,2015.00,11945.00
Números absolutos,Furto de veículo,ES,2015.00,3068.00
Números absolutos,Furto de veículo,DF,2015.00,6490.00
Números absolutos,Furto de veículo,CE,2015.00,4839.00
Números absolutos,Furto de veículo,BA,2015.00,5530.00
Números absolutos,Furto de veículo,AP,2015.00,1122.00
Números absolutos,Furto de veículo,AM,2015.00,1867.00
Números absolutos,Furto de veículo,AL,2015.00,694.00
Números absolutos,Furto de veículo,AC,2015.00,49.00
