Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Taxa /100 mil habitantes,Roubo (outros),TO,2007,
Taxa /100 mil habitantes,Roubo (outros),SP,2007,511.285436560
Taxa /100 mil habitantes,Roubo (outros),SE,2007,
Taxa /100 mil habitantes,Roubo (outros),SC,2007,73.155467721
Taxa /100 mil habitantes,Roubo (outros),RS,2007,
Taxa /100 mil habitantes,Roubo (outros),RR,2007,
Taxa /100 mil habitantes,Roubo (outros),RO,2007,
Taxa /100 mil habitantes,Roubo (outros),RN,2007,
Taxa /100 mil habitantes,Roubo (outros),RJ,2007,159.328968976
Taxa /100 mil habitantes,Roubo (outros),PR,2007,
Taxa /100 mil habitantes,Roubo (outros),PI,2007,
Taxa /100 mil habitantes,Roubo (outros),PE,2007,5.821916829
Taxa /100 mil habitantes,Roubo (outros),PB,2007,
Taxa /100 mil habitantes,Roubo (outros),PA,2007,
Taxa /100 mil habitantes,Roubo (outros),MT,2007,60.640207964
Taxa /100 mil habitantes,Roubo (outros),MS,2007,19.436794734
Taxa /100 mil habitantes,Roubo (outros),MG,2007,63.686792312
Taxa /100 mil habitantes,Roubo (outros),MA,2007,
Taxa /100 mil habitantes,Roubo (outros),GO,2007,42.221060042
Taxa /100 mil habitantes,Roubo (outros),ES,2007,37.535781576
Taxa /100 mil habitantes,Roubo (outros),DF,2007,46.692856940
Taxa /100 mil habitantes,Roubo (outros),CE,2007,
Taxa /100 mil habitantes,Roubo (outros),BA,2007,
Taxa /100 mil habitantes,Roubo (outros),AP,2007,
Taxa /100 mil habitantes,Roubo (outros),AM,2007,
Taxa /100 mil habitantes,Roubo (outros),AL,2007,
Taxa /100 mil habitantes,Roubo (outros),AC,2007,
Taxa /100 mil habitantes,Roubo (outros),TO,2008,19.609295678
Taxa /100 mil habitantes,Roubo (outros),SP,2008,506.659387884
Taxa /100 mil habitantes,Roubo (outros),SE,2008,113.629874397
Taxa /100 mil habitantes,Roubo (outros),SC,2008,155.076638748
Taxa /100 mil habitantes,Roubo (outros),RS,2008,92.454743110
Taxa /100 mil habitantes,Roubo (outros),RR,2008,149.137522047
Taxa /100 mil habitantes,Roubo (outros),RO,2008,202.783934614
Taxa /100 mil habitantes,Roubo (outros),RN,2008,144.309924626
Taxa /100 mil habitantes,Roubo (outros),RJ,2008,160.171592875
Taxa /100 mil habitantes,Roubo (outros),PR,2008,281.250999131
Taxa /100 mil habitantes,Roubo (outros),PI,2008,175.272170803
Taxa /100 mil habitantes,Roubo (outros),PE,2008,0
Taxa /100 mil habitantes,Roubo (outros),PB,2008,28.868398753
Taxa /100 mil habitantes,Roubo (outros),PA,2008,335.818299591
Taxa /100 mil habitantes,Roubo (outros),MT,2008,52.393103187
Taxa /100 mil habitantes,Roubo (outros),MS,2008,24.035080462
Taxa /100 mil habitantes,Roubo (outros),MG,2008,37.879633700
Taxa /100 mil habitantes,Roubo (outros),MA,2008,150.291331703
Taxa /100 mil habitantes,Roubo (outros),GO,2008,48.831174063
Taxa /100 mil habitantes,Roubo (outros),ES,2008,47.380537131
Taxa /100 mil habitantes,Roubo (outros),DF,2008,57.495584154
Taxa /100 mil habitantes,Roubo (outros),CE,2008,275.937330415
Taxa /100 mil habitantes,Roubo (outros),BA,2008,62.507950874
Taxa /100 mil habitantes,Roubo (outros),AP,2008,227.308632053
Taxa /100 mil habitantes,Roubo (outros),AM,2008,69.668162429
Taxa /100 mil habitantes,Roubo (outros),AL,2008,58.181703758
Taxa /100 mil habitantes,Roubo (outros),AC,2008,105.720379516
Taxa /100 mil habitantes,Roubo (outros),TO,2009,18.879609593
Taxa /100 mil habitantes,Roubo (outros),SP,2009,591.773649199
Taxa /100 mil habitantes,Roubo (outros),SE,2009,150.990658259
Taxa /100 mil habitantes,Roubo (outros),SC,2009,86.860312157
Taxa /100 mil habitantes,Roubo (outros),RS,2009,19.051404227
Taxa /100 mil habitantes,Roubo (outros),RR,2009,202.009450760
Taxa /100 mil habitantes,Roubo (outros),RO,2009,166.279919566
Taxa /100 mil habitantes,Roubo (outros),RN,2009,115.086854465
Taxa /100 mil habitantes,Roubo (outros),RJ,2009,147.459855576
Taxa /100 mil habitantes,Roubo (outros),PR,2009,282.096809299
Taxa /100 mil habitantes,Roubo (outros),PI,2009,245.911760961
Taxa /100 mil habitantes,Roubo (outros),PE,2009,92.292270534
Taxa /100 mil habitantes,Roubo (outros),PB,2009,7.237958177
Taxa /100 mil habitantes,Roubo (outros),PA,2009,70.210602559
Taxa /100 mil habitantes,Roubo (outros),MT,2009,56.737399736
Taxa /100 mil habitantes,Roubo (outros),MS,2009,29.648794330
Taxa /100 mil habitantes,Roubo (outros),MG,2009,106.472698717
Taxa /100 mil habitantes,Roubo (outros),MA,2009,281.324415160
Taxa /100 mil habitantes,Roubo (outros),GO,2009,60.405783569
Taxa /100 mil habitantes,Roubo (outros),ES,2009,13.678446852
Taxa /100 mil habitantes,Roubo (outros),DF,2009,40.528300164
Taxa /100 mil habitantes,Roubo (outros),CE,2009,271.112442903
Taxa /100 mil habitantes,Roubo (outros),BA,2009,71.145064609
Taxa /100 mil habitantes,Roubo (outros),AP,2009,46.312895901
Taxa /100 mil habitantes,Roubo (outros),AM,2009,114.897455224
Taxa /100 mil habitantes,Roubo (outros),AL,2009,60.640260079
Taxa /100 mil habitantes,Roubo (outros),AC,2009,31.660862175
Taxa /100 mil habitantes,Roubo (outros),TO,2010,26.848002255
Taxa /100 mil habitantes,Roubo (outros),SP,2010,530.523769655
Taxa /100 mil habitantes,Roubo (outros),SE,2010,189.570821848
Taxa /100 mil habitantes,Roubo (outros),SC,2010,72.802640292
Taxa /100 mil habitantes,Roubo (outros),RS,2010,49.006128489
