Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Taxa /100 mil veículos,Furto de veículo,TO,2013,249.434277702
Taxa /100 mil veículos,Furto de veículo,SP,2013,477.442435264
Taxa /100 mil veículos,Furto de veículo,SE,2013,
Taxa /100 mil veículos,Furto de veículo,SC,2013,298.869316108
Taxa /100 mil veículos,Furto de veículo,RS,2013,288.885577738
Taxa /100 mil veículos,Furto de veículo,RR,2013,51.853614197
Taxa /100 mil veículos,Furto de veículo,RO,2013,355.799626815
Taxa /100 mil veículos,Furto de veículo,RN,2013,
Taxa /100 mil veículos,Furto de veículo,RJ,2013,319.119153110
Taxa /100 mil veículos,Furto de veículo,PR,2013,242.291869098
Taxa /100 mil veículos,Furto de veículo,PI,2013,137.153108547
Taxa /100 mil veículos,Furto de veículo,PE,2013,148.717636155
Taxa /100 mil veículos,Furto de veículo,PB,2013,29.943957520
Taxa /100 mil veículos,Furto de veículo,PA,2013,124.149877869
Taxa /100 mil veículos,Furto de veículo,MT,2013,206.519679314
Taxa /100 mil veículos,Furto de veículo,MS,2013,258.479186957
Taxa /100 mil veículos,Furto de veículo,MG,2013,154.875944809
Taxa /100 mil veículos,Furto de veículo,MA,2013,112.023960496
Taxa /100 mil veículos,Furto de veículo,GO,2013,194.443376035
Taxa /100 mil veículos,Furto de veículo,ES,2013,190.403437939
Taxa /100 mil veículos,Furto de veículo,DF,2013,478.189666818
Taxa /100 mil veículos,Furto de veículo,CE,2013,206.363394818
Taxa /100 mil veículos,Furto de veículo,BA,2013,152.916962897
Taxa /100 mil veículos,Furto de veículo,AP,2013,426.983791774
Taxa /100 mil veículos,Furto de veículo,AM,2013,209.731422863
Taxa /100 mil veículos,Furto de veículo,AL,2013,123.819765778
Taxa /100 mil veículos,Furto de veículo,AC,2013,
Taxa /100 mil habitantes,Furto de veículo,TO,2013,88.217545550
Taxa /100 mil habitantes,Furto de veículo,SP,2013,267.462635813
Taxa /100 mil habitantes,Furto de veículo,SE,2013,
Taxa /100 mil habitantes,Furto de veículo,SC,2013,187.933714929
Taxa /100 mil habitantes,Furto de veículo,RS,2013,151.262405564
Taxa /100 mil habitantes,Furto de veículo,RR,2013,17.415463292
Taxa /100 mil habitantes,Furto de veículo,RO,2013,155.131251107
Taxa /100 mil habitantes,Furto de veículo,RN,2013,
Taxa /100 mil habitantes,Furto de veículo,RJ,2013,107.934551879
Taxa /100 mil habitantes,Furto de veículo,PR,2013,139.059319580
Taxa /100 mil habitantes,Furto de veículo,PI,2013,36.407568753
Taxa /100 mil habitantes,Furto de veículo,PE,2013,38.420815438
Taxa /100 mil habitantes,Furto de veículo,PB,2013,7.280770260
Taxa /100 mil habitantes,Furto de veículo,PA,2013,21.995936085
Taxa /100 mil habitantes,Furto de veículo,MT,2013,100.687813412
Taxa /100 mil habitantes,Furto de veículo,MS,2013,124.223650498
Taxa /100 mil habitantes,Furto de veículo,MG,2013,66.472895433
Taxa /100 mil habitantes,Furto de veículo,MA,2013,19.840157214
Taxa /100 mil habitantes,Furto de veículo,GO,2013,95.072340150
Taxa /100 mil habitantes,Furto de veículo,ES,2013,78.033717025
Taxa /100 mil habitantes,Furto de veículo,DF,2013,257.584789521
Taxa /100 mil habitantes,Furto de veículo,CE,2013,55.380029793
Taxa /100 mil habitantes,Furto de veículo,BA,2013,31.839646236
Taxa /100 mil habitantes,Furto de veículo,AP,2013,88.027689947
Taxa /100 mil habitantes,Furto de veículo,AM,2013,38.262348405
Taxa /100 mil habitantes,Furto de veículo,AL,2013,22.811718498
Taxa /100 mil habitantes,Furto de veículo,AC,2013,
Taxa / 100 instituições,Furto de veículo,TO,2013,210.662358643
Taxa / 100 instituições,Furto de veículo,SP,2013,581.854416820
Taxa / 100 instituições,Furto de veículo,SE,2013,
Taxa / 100 instituições,Furto de veículo,SC,2013,398.720818676
