Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Taxa /100 mil veículos,Furto de veículo,TO,2013,249.434277702
Taxa /100 mil veículos,Furto de veículo,SP,2013,477.442435264
Taxa /100 mil veículos,Furto de veículo,SE,2013,
Taxa /100 mil veículos,Furto de veículo,SC,2013,298.869316108
Taxa /100 mil veículos,Furto de veículo,RS,2013,288.885577738
Taxa /100 mil veículos,Furto de veículo,RR,2013,51.853614197
Taxa /100 mil veículos,Furto de veículo,RO,2013,355.799626815
Taxa /100 mil veículos,Furto de veículo,RN,2013,
Taxa /100 mil veículos,Furto de veículo,RJ,2013,319.119153110
Taxa /100 mil veículos,Furto de veículo,PR,2013,242.291869098
Taxa /100 mil veículos,Furto de veículo,PI,2013,137.153108547
Taxa /100 mil veículos,Furto de veículo,PE,2013,148.717636155
Taxa /100 mil veículos,Furto de veículo,PB,2013,29.943957520
Taxa /100 mil veículos,Furto de veículo,PA,2013,124.149877869
Taxa /100 mil veículos,Furto de veículo,MT,2013,206.519679314
Taxa /100 mil veículos,Furto de veículo,MS,2013,258.479186957
Taxa /100 mil veículos,Furto de veículo,MG,2013,154.875944809
Taxa /100 mil veículos,Furto de veículo,MA,2013,112.023960496
Taxa /100 mil veículos,Furto de veículo,GO,2013,194.443376035
Taxa /100 mil veículos,Furto de veículo,ES,2013,190.403437939
Taxa /100 mil veículos,Furto de veículo,DF,2013,478.189666818
Taxa /100 mil veículos,Furto de veículo,CE,2013,206.363394818
Taxa /100 mil veículos,Furto de veículo,BA,2013,152.916962897
Taxa /100 mil veículos,Furto de veículo,AP,2013,426.983791774
Taxa /100 mil veículos,Furto de veículo,AM,2013,209.731422863
Taxa /100 mil veículos,Furto de veículo,AL,2013,123.819765778
Taxa /100 mil veículos,Furto de veículo,AC,2013,
Taxa /100 mil veículos,Furto de veículo,TO,2014,248.419624626
Taxa /100 mil veículos,Furto de veículo,SP,2014,477.361443906
Taxa /100 mil veículos,Furto de veículo,SE,2014,126.569469452
Taxa /100 mil veículos,Furto de veículo,SC,2014,309.967428791
Taxa /100 mil veículos,Furto de veículo,RS,2014,304.955322968
Taxa /100 mil veículos,Furto de veículo,RR,2014,319.320869940
Taxa /100 mil veículos,Furto de veículo,RO,2014,326.338557280
Taxa /100 mil veículos,Furto de veículo,RN,2014,85.672558332
Taxa /100 mil veículos,Furto de veículo,RJ,2014,298.937793757
Taxa /100 mil veículos,Furto de veículo,PR,2014,244.978703395
Taxa /100 mil veículos,Furto de veículo,PI,2014,153.650518940
Taxa /100 mil veículos,Furto de veículo,PE,2014,167.565669784
Taxa /100 mil veículos,Furto de veículo,PB,2014,
Taxa /100 mil veículos,Furto de veículo,PA,2014,134.696611018
Taxa /100 mil veículos,Furto de veículo,MT,2014,237.249881405
Taxa /100 mil veículos,Furto de veículo,MS,2014,266.462396250
Taxa /100 mil veículos,Furto de veículo,MG,2014,274.642132337
Taxa /100 mil veículos,Furto de veículo,MA,2014,128.955342802
Taxa /100 mil veículos,Furto de veículo,GO,2014,308.707409155
Taxa /100 mil veículos,Furto de veículo,ES,2014,205.066860341
Taxa /100 mil veículos,Furto de veículo,DF,2014,526.614755426
Taxa /100 mil veículos,Furto de veículo,CE,2014,
Taxa /100 mil veículos,Furto de veículo,BA,2014,159.953654903
Taxa /100 mil veículos,Furto de veículo,AP,2014,387.401861226
Taxa /100 mil veículos,Furto de veículo,AM,2014,243.197933744
Taxa /100 mil veículos,Furto de veículo,AL,2014,128.497767295
Taxa /100 mil veículos,Furto de veículo,AC,2014,36.233504809
Taxa /100 mil veículos,Furto de veículo,TO,2015,260.620063333
Taxa /100 mil veículos,Furto de veículo,SP,2015,416.048957938
Taxa /100 mil veículos,Furto de veículo,SE,2015,133.107508865
Taxa /100 mil veículos,Furto de veículo,SC,2015,304.136489847
