Measure Names,Tipo de crime,UF,Year of Ano (data),Measure Values
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,TO,2012.00,20.699605542
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,SP,2012.00,12.035204626
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,SE,2012.00,36.985229398
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,SC,2012.00,11.436266664
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RS,2012.00,18.671984765
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RR,2012.00,13.359133159
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RO,2012.00,28.349319851
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RN,2012.00,11.052904473
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RJ,2012.00,25.076834290
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PR,2012.00,28.734120389
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PI,2012.00,15.481848085
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PE,2012.00,34.531078354
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PB,2012.00,39.007966894
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PA,2012.00,38.805275737
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MT,2012.00,30.202413517
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MS,2012.00,22.238492168
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MG,2012.00,19.191229549
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MA,2012.00,22.244156194
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,GO,2012.00,38.246066299
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,ES,2012.00,43.766283826
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,DF,2012.00,30.031924045
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,CE,2012.00,40.964541052
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,BA,2012.00,39.305545425
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AP,2012.00,22.812440013
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AM,2012.00,29.029857449
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AL,2012.00,62.208606805
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AC,2012.00,23.209127350
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,TO,2013.00,19.618932676
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,SP,2013.00,10.853416830
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,SE,2013.00,40.079028557
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,SC,2013.00,10.611592502
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RS,2013.00,17.144326657
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RR,2013.00,20.283892540
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RO,2013.00,27.195706087
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RN,2013.00,38.145098977
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RJ,2013.00,28.987403705
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PR,2013.00,23.387207870
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PI,2013.00,15.894935107
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PE,2013.00,31.937710063
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PB,2013.00,38.192110660
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PA,2013.00,39.989188991
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MT,2013.00,32.117024128
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MS,2013.00,20.678174554
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MG,2013.00,19.885054189
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MA,2013.00,23.475556941
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,GO,2013.00,40.145799347
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,ES,2013.00,40.735892332
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,DF,2013.00,25.342672724
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,CE,2013.00,47.942111353
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,BA,2013.00,36.160266288
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AP,2013.00,30.612411496
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AM,2013.00,23.871293548
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AL,2013.00,65.193649678
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AC,2013.00,25.500249207
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,TO,2014.00,21.845438512
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,SP,2014.00,10.280387754
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,SE,2014.00,45.008636792
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,SC,2014.00,11.297506759
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RS,2014.00,22.289095457
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RR,2014.00,14.488787289
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RO,2014.00,28.824195854
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RN,2014.00,45.679783835
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RJ,2014.00,30.022161847
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PR,2014.00,22.695090244
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PI,2014.00,21.446757563
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PE,2014.00,35.729097777
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PB,2014.00,37.754650554
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PA,2014.00,40.339740627
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MT,2014.00,40.752311236
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MS,2014.00,22.751070083
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MG,2014.00,20.680910290
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MA,2014.00,27.762840533
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,GO,2014.00,39.551007156
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,ES,2014.00,39.330263273
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,DF,2014.00,25.031798096
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,CE,2014.00,48.589068217
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,BA,2014.00,38.105636838
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AP,2014.00,31.028935481
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AM,2014.00,28.602826775
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AL,2014.00,61.933486988
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AC,2014.00,24.680388963
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,TO,2015.00,24.354410128
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,SP,2015.00,8.926382549
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,SE,2015.00,53.322942196
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,SC,2015.00,12.127540074
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RS,2015.00,23.159730483
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RR,2015.00,14.634194575
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RO,2015.00,29.578035114
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RN,2015.00,40.526701867
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,RJ,2015.00,25.377606703
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PR,2015.00,21.642892630
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PI,2015.00,19.011869775
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PE,2015.00,40.115121518
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PB,2015.00,36.982006454
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,PA,2015.00,41.161510550
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MT,2015.00,38.248517985
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MS,2015.00,20.971358631
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MG,2015.00,20.010445107
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,MA,2015.00,29.069089564
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,GO,2015.00,40.101768638
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,ES,2015.00,35.395203606
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,DF,2015.00,21.510688445
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,CE,2015.00,44.052789233
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,BA,2015.00,37.542914880
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AP,2015.00,33.129901823
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AM,2015.00,33.338953304
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AL,2015.00,49.573387473
Taxa / 100 mil habitantes,Homicídio doloso - N° vítimas,AC,2015.00,23.895070770
