UF,Crescimento Acumulado das Mortes de Policiais (2010 à 2015),NA
AC,0,NA
AL,Inf,NaN
AM,0,NA
AP,0,NA
BA,2.183490073145246,1.1851668933869628
CE,-0.6111111111111112,NA
DF,5.821428571428571,3.056354899567268
ES,Inf,NaN
GO,0,NA
MA,1.3278508771929824,0.9397065765460234
MG,-0.26666666666666666,0.29360467248275135
MS,Inf,NaN
MT,14.80102495543672,7.305637168290365
PA,-0.15591496021912088,0.35478330582803186
PB,3,NA
PE,1.878383742160832,1.2066379698301901
PI,Inf,NaN
PR,-0.10566037735849054,0.8533754587917162
RJ,-0.05846153846153847,0.013054279037290109
RN,0.16666666666666666,NA
RO,1.2924242424242425,1.0415189977975372
RR,0,NA
RS,1.3333333333333333,NA
SC,0.8333333333333333,0.11785113019775793
SE,-1,NA
SP,0.25614018766222746,0.6096605825208152
TO,0,NA
