UF,Taxa de Homicídio por AF (Jovem) por 100 mil hab. (2002 e 2012),NA
AC,hom_2012,123.6
AL,hom_2012,91.8
AM,hom_2012,82.9
AP,hom_2012,81.8
BA,hom_2012,75
CE,hom_2012,69.3
DF,hom_2012,64.5
ES,hom_2012,64.5
GO,hom_2012,64.4
MA,hom_2012,59.5
MG,hom_2012,58.7
MS,hom_2012,55.4
MT,hom_2012,48.9
PA,hom_2012,48.3
PB,hom_2012,44.9
PE,hom_2012,40
PI,hom_2012,37.9
PR,hom_2012,37.3
RJ,hom_2012,36.8
RN,hom_2012,35.3
RO,hom_2012,27.3
RR,hom_2012,24.1
RS,hom_2012,22.6
SC,hom_2012,22.5
SE,hom_2012,19.3
SP,hom_2012,17.8
TO,hom_2012,12.2
AC,hom_2002,51.4
AL,hom_2002,84
AM,hom_2002,21.5
AP,hom_2002,32.3
BA,hom_2002,24.5
CE,hom_2002,33.2
DF,hom_2002,45.5
ES,hom_2002,20.5
GO,hom_2002,57.2
MA,hom_2002,99.3
MG,hom_2002,20.4
MS,hom_2002,36.5
MT,hom_2002,107.7
PA,hom_2002,13.8
PB,hom_2002,40.3
PE,hom_2002,25.7
PI,hom_2002,43.2
PR,hom_2002,19.3
RJ,hom_2002,33.6
RN,hom_2002,7.3
RO,hom_2002,37.1
RR,hom_2002,13.5
RS,hom_2002,9.7
SC,hom_2002,26
SE,hom_2002,60.5
SP,hom_2002,13.6
TO,hom_2002,23.2
AC,ratio,72.19999999999999
AL,ratio,7.799999999999997
AM,ratio,61.400000000000006
AP,ratio,49.5
BA,ratio,50.5
CE,ratio,36.099999999999994
DF,ratio,19
ES,ratio,44
GO,ratio,7.200000000000003
MA,ratio,-39.8
MG,ratio,38.300000000000004
MS,ratio,18.9
MT,ratio,-58.800000000000004
PA,ratio,34.5
PB,ratio,4.600000000000001
PE,ratio,14.3
PI,ratio,-5.300000000000004
PR,ratio,17.999999999999996
RJ,ratio,3.1999999999999957
RN,ratio,27.999999999999996
RO,ratio,-9.8
RR,ratio,10.600000000000001
RS,ratio,12.900000000000002
SC,ratio,-3.5
SE,ratio,-41.2
SP,ratio,4.200000000000001
TO,ratio,-11
