UF,Total de Homicídio por AF (Jovem) em 10 anos (2002 e 2012),NA
AC,hom_2012,123.6
AL,hom_2012,91.8
AM,hom_2012,82.9
AP,hom_2012,81.8
BA,hom_2012,75
CE,hom_2012,69.3
DF,hom_2012,64.5
ES,hom_2012,64.5
GO,hom_2012,64.4
MA,hom_2012,59.5
MG,hom_2012,58.7
MS,hom_2012,55.4
MT,hom_2012,48.9
PA,hom_2012,48.3
PB,hom_2012,44.9
PE,hom_2012,40
PI,hom_2012,37.9
PR,hom_2012,37.3
RJ,hom_2012,36.8
RN,hom_2012,35.3
RO,hom_2012,27.3
RR,hom_2012,24.1
RS,hom_2012,22.6
SC,hom_2012,22.5
SE,hom_2012,19.3
SP,hom_2012,17.8
TO,hom_2012,12.2
AC,hom_2002,51.4
AL,hom_2002,84
AM,hom_2002,21.5
AP,hom_2002,32.3
BA,hom_2002,24.5
CE,hom_2002,33.2
DF,hom_2002,45.5
ES,hom_2002,20.5
GO,hom_2002,57.2
MA,hom_2002,99.3
MG,hom_2002,20.4
MS,hom_2002,36.5
MT,hom_2002,107.7
PA,hom_2002,13.8
PB,hom_2002,40.3
PE,hom_2002,25.7
PI,hom_2002,43.2
PR,hom_2002,19.3
RJ,hom_2002,33.6
RN,hom_2002,7.3
RO,hom_2002,37.1
RR,hom_2002,13.5
RS,hom_2002,9.7
SC,hom_2002,26
SE,hom_2002,60.5
SP,hom_2002,13.6
TO,hom_2002,23.2
