UF,Total de Crimes Patrimoniais (2007 à 2016),NA
AC,veiculo,2298
AL,veiculo,42016
AM,veiculo,57078
AP,veiculo,8603
BA,veiculo,205309
CE,veiculo,106973
DF,veiculo,118161
ES,veiculo,66255
GO,veiculo,200368
MA,veiculo,50195
MG,veiculo,286914
MS,veiculo,40249
MT,veiculo,68230
PA,veiculo,79142
PB,veiculo,12626
PE,veiculo,155927
PI,veiculo,37830
PR,veiculo,250350
RJ,veiculo,550159
RN,veiculo,42332
RO,veiculo,40728
RR,veiculo,6358
RS,veiculo,335245
SC,veiculo,144613
SE,veiculo,24704
SP,veiculo,2063419
TO,veiculo,16323
AC,carga,0
AL,carga,809
AM,carga,207
AP,carga,0
BA,carga,2075
CE,carga,1326
DF,carga,300
ES,carga,454
GO,carga,2326
MA,carga,501
MG,carga,4454
MS,carga,29
MT,carga,155
PA,carga,1147
PB,carga,58
PE,carga,1731
PI,carga,50
PR,carga,0
RJ,carga,46161
RN,carga,629
RO,carga,56
RR,carga,1
RS,carga,3919
SC,carga,1206
SE,carga,214
SP,carga,75733
TO,carga,107
AC,pessoa,9370
AL,pessoa,16509
AM,pessoa,37764
AP,pessoa,5238
BA,pessoa,83958
CE,pessoa,46509
DF,pessoa,27377
ES,pessoa,19302
GO,pessoa,34655
MA,pessoa,97424
MG,pessoa,127995
MS,pessoa,8834
MT,pessoa,20192
PA,pessoa,240515
PB,pessoa,5405
PE,pessoa,69006
PI,pessoa,37905
PR,pessoa,183562
RJ,pessoa,189170
RN,pessoa,24281
RO,pessoa,19212
RR,pessoa,5601
RS,pessoa,66803
SC,pessoa,35655
SE,pessoa,24829
SP,pessoa,1362022
TO,pessoa,3006
