UF,Razão Tx. Homicídio de Jovens (1980 à 2015)
SC,26.922777777777778
PI,28.575555555555557
MA,40.698055555555555
MG,44.81805555555555
TO,45.49
RN,55.528333333333336
RS,55.75083333333333
BA,62.855555555555554
AC,66.41916666666667
CE,68.8536111111111
PR,68.91833333333334
MT,69.39138888888888
PB,69.74361111111111
AM,70.48361111111112
PA,71.28111111111112
GO,72.64
MS,73.05666666666667
SE,73.68694444444445
RR,79.00555555555556
RO,84.41222222222223
SP,95.28916666666667
DF,104.34527777777778
AP,104.67472222222221
AL,127.61583333333333
ES,131.82555555555555
PE,149.10444444444445
RJ,149.4561111111111
