UF,Média da Taxa de Homicídios Dolosos (2012 à 2015)
SP,10.52384793975
SC,11.36822649975
RR,15.69150189075
PI,17.9588526325
MG,19.94190978375
RS,20.3162843405
TO,21.6295967145
MS,21.659773859
PR,24.11482778325
AC,24.3212090725
DF,25.4792708275
MA,25.637910808
RJ,27.36600163625
RO,28.4868142265
AM,28.710732769
AP,29.39592220325
RN,33.851122288
MT,35.3300667165
PE,35.578251928
BA,37.778590857750004
PB,37.9841836405
GO,39.51116036
ES,39.80691075925
PA,40.07392897625
SE,43.84895923575
CE,45.38712746375
AL,59.727282736
